tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tsha̍t-á-kut,賊仔骨,16,chha̍t-á-kut,tshat8a2kut1,chhat8a2kut1,tshatakut,chhatakut,tak,cak
tsha̍t-á-tóng,賊仔黨,16,chha̍t-á-tóng,tshat8a2tong2,chhat8a2tong2,tshatatong,chhatatong,tat,cat
tsha̍t-king-tsha̍t,賊供賊,16,chha̍t-keng-chha̍t,tshat8king1tshat8,chhat8keng1chhat8,tshatkingtshat,chhatkengchhat,tkt,ckc
tsha̍t-kiap-tsha̍t,賊劫賊,16,chha̍t-kiap-chha̍t,tshat8kiap1tshat8,chhat8kiap1chhat8,tshatkiaptshat,chhatkiapchhat,tkt,ckc
tsha̍t-hiàm-tsha̍t,賊喊賊,16,chha̍t-hiàm-chha̍t,tshat8hiam3tshat8,chhat8hiam3chhat8,tshathiamtshat,chhathiamchhat,tht,chc
tsha̍t-huah-tsha̍t,賊喝賊,16,chha̍t-hoah-chha̍t,tshat8huah1tshat8,chhat8hoah1chhat8,tshathuahtshat,chhathoahchhat,tht,chc
tsha̍t-sió-kiánn,賊小囝,16,chha̍t-sió-kiáⁿ,tshat8sio2kiann2,chhat8sio2kiann2,tshatsiokiann,chhatsiokiann,tsk,csk
tsha̍t-piànn-tsha̍t,賊拚賊,16,chha̍t-piàⁿ-chha̍t,tshat8piann3tshat8,chhat8piann3chhat8,tshatpianntshat,chhatpiannchhat,tpt,cpc
tsha̍t-kha-á,賊腳仔,16,chha̍t-kha-á,tshat8kha1a2,chhat8kha1a2,tshatkhaa,chhatkhaa,tka,cka
sia--lâng,賒--人,16,sia--lâng,sia1lang5,sia1lang5,sialang,sialang,sl,sl
sù-phín-kip,賜品級,16,sù-phín-kip,su3phin2kip1,su3phin2kip1,suphinkip,suphinkip,spk,spk
siúnn-hun-kio̍k,賞勳局,16,siúⁿ-hun-kio̍k,siunn2hun1kiok8,siunn2hun1kiok8,siunnhunkiok,siunnhunkiok,shk,shk
pê-jîn-bīng,賠人命,16,pê-jîn-bēng,pe5jin5bing7,pe5jin5beng7,pejinbing,pejinbeng,pjb,pjb
pê-siáu-lué,賠羞禮,16,pê-siáu-lóe,pe5siau2lue2,pe5siau2loe2,pesiaulue,pesiauloe,psl,psl
hiân--tsiá,賢--者,16,hiân--chiá,hian5tsia2,hian5chia2,hiantsia,hianchia,ht,hc
gâu-tsuè-lâng,賢做人,16,gâu-chòe-lâng,gau5tsue3lang5,gau5choe3lang5,gautsuelang,gauchoelang,gtl,gcl
hiân-khun-tiōng,賢昆仲,16,hiân-khun-tiōng,hian5khun1tiong7,hian5khun1tiong7,hiankhuntiong,hiankhuntiong,hkt,hkt
hiân-khun-gio̍k,賢昆玉,16,hiân-khun-gio̍k,hian5khun1giok8,hian5khun1giok8,hiankhungiok,hiankhungiok,hkg,hkg
hiân-liông-sū,賢良祀,16,hiân-liông-sū,hian5liong5su7,hian5liong5su7,hianliongsu,hianliongsu,hls,hls
gâu-hâng-tsîng,賢行情,16,gâu-hâng-chêng,gau5hang5tsing5,gau5hang5cheng5,gauhangtsing,gauhangcheng,ght,ghc
buē--kè,賣--過,16,bōe--kè,bue7ke3,boe7ke3,bueke,boeke,bk,bk
māi-kok-tsha̍t,賣國賊,16,māi-kok-chha̍t,mai7kok1tshat8,mai7kok1chhat8,maikoktshat,maikokchhat,mkt,mkc
buē-pat-jîn,賣捌人,16,bōe-pat-jîn,bue7pat1jin5,boe7pat1jin5,buepatjin,boepatjin,bpj,bpj
buē-pat-sóo,賣捌所,16,bōe-pat-só͘,bue7pat1soo2,boe7pat1soo2,buepatsoo,boepatsoo,bps,bps
buē-iô-kóo,賣搖鼓,16,bōe-iô-kó͘,bue7io5koo2,boe7io5koo2,bueiokoo,boeiokoo,bik,bik
buē-sin-bûn,賣新聞,16,bōe-sin-bûn,bue7sin1bun5,boe7sin1bun5,buesinbun,boesinbun,bsb,bsb
buē-tōo-tsìng,賣渡證,16,bōe-tō͘-chèng,bue7too7tsing3,boe7too7cheng3,buetootsing,boetoocheng,btt,btc
buē-bah-tsînn,賣肉錢,16,bōe-bah-chîⁿ,bue7bah1tsinn5,boe7bah1chinn5,buebahtsinn,boebahchinn,bbt,bbc
buē-tāu-iû,賣豆油,16,bōe-tāu-iû,bue7tau7iu5,boe7tau7iu5,buetauiu,boetauiu,bti,bti
tsiān-hing-tī,賤兄弟,16,chiān-heng-tī,tsian7hing1ti7,chian7heng1ti7,tsianhingti,chianhengti,tht,cht
tsiān-kut-siòng,賤骨相,16,chiān-kut-siòng,tsian7kut1siong3,chian7kut1siong3,tsiankutsiong,chiankutsiong,tks,cks
siàu-tû-á,賬櫥仔,16,siàu-tû-á,siau3tu5a2,siau3tu5a2,siautua,siautua,sta,sta
siàu-phōo-tû,賬簿櫥,16,siàu-phō͘-tû,siau3phoo7tu5,siau3phoo7tu5,siauphootu,siauphootu,spt,spt
siàu-phōo-phê,賬簿皮,16,siàu-phō͘-phê,siau3phoo7phe5,siau3phoo7phe5,siauphoophe,siauphoophe,spp,spp
siàu-phōo-gán,賬簿眼,16,siàu-phō͘-gán,siau3phoo7gan2,siau3phoo7gan2,siauphoogan,siauphoogan,spg,spg
tóo-thian-bīng,賭天命,16,tó͘-thian-bēng,too2thian1bing7,too2thian1beng7,toothianbing,toothianbeng,ttb,ttb
tóo-jī-ūn,賭字運,16,tó͘-jī-ūn,too2ji7un7,too2ji7un7,toojiun,toojiun,tju,tju
