tl,hanzi,frequency,poj,tl_num,poj_num
to-tuà,刀帶,25,to-tòa,totua3,totoa3
to-tshn̂g,刀床,25,to-chhn̂g,totshng5,tochhng5
to-āu,刀後,25,to-āu,toau7,toau7
to-sok,刀束,25,to-sok,tosok,tosok
to-pán,刀板,25,to-pán,topan2,topan2
to-kè,刀架,25,to-kè,toke3,toke3
to-kê,刀枷,25,to-kê,toke5,toke5
to-pìnn,刀柄,25,to-pìⁿ,topinn3,topinn3
to-thui,刀梯,25,to-thui,tothui,tothui
to-kiô,刀橋,25,to-kiô,tokio5,tokio5
to-khak,刀殼,25,to-khak,tokhak,tokhak
to-khuân,刀環,25,to-khoân,tokhuan5,tokhoan5
to-hûn,刀痕,25,to-hûn,tohun5,tohun5
to-tsio̍h,刀石,25,to-chio̍h,totsioh8,tochioh8
to-tiam,刀砧,25,to-tiam,totiam,totiam
to-khoo,刀箍,25,to-kho͘,tokhoo,tokhoo
to-siann,刀聲,25,to-siaⁿ,tosiann,tosiann
to-bah,刀肉,25,to-bah,tobah,tobah
to-puē,刀背,25,to-pōe,topue7,topoe7
to-tāu,刀豆,25,to-tāu,totau7,totau7
to-lōo,刀路,25,to-lō͘,toloo7,toloo7
to-nî,刀連,25,to-nî,toni5,toni5
to-tun,刀鈍,25,to-tun,totun,totun
to-khing,刀銎,25,to-kheng,tokhing,tokheng
to-mî,刀鋩,25,to-mî,tomi5,tomi5
to-kù,刀鋸,25,to-kù,toku3,toku3
to-kǹg,刀鋼,25,to-kǹg,tokng3,tokng3
to-tshiunn,刀鎗,25,to-chhiuⁿ,totshiunn,tochhiunn
to-siù,刀鞘,25,to-siù,tosiu3,tosiu3
to-thâu,刀頭,25,to-thâu,tothau5,tothau5
to-bé,刀馬,25,to-bé,tobe2,tobe2
to-phiann,刀骿,25,to-phiaⁿ,tophiann,tophiann
to-hî,刀魚,25,to-hî,tohi5,tohi5
thiau-lân,刁難,25,thiau-lân,thiaulan5,thiaulan5
tiau-bân,刁頑,25,tiau-bân,tiauban5,tiauban5
pun-phinn,分phinn,25,pun-phiⁿ,punphinn,punphinn
pun-pîng,分pîng,25,pun-pêng,punping5,punpeng5
hun-hun,分分,25,hun-hun,hunhun,hunhun
pun-pun,分分,25,pun-pun,punpun,punpun
hun-piat,分別,25,hun-piat,hunpiat,hunpiat
hun-kuah,分割,25,hun-koah,hunkuah,hunkoah
pun-tsâng,分叢,25,pun-châng,puntsang5,punchang5
hun-si,分司,25,hun-si,hunsi,hunsi
pun-tuann,分單,25,pun-toaⁿ,puntuann,puntoann
hun-guā,分外,25,hun-gōa,hungua7,hungoa7
hun-bián,分娩,25,hun-bián,hunbian2,hunbian2
hun-buán,分娩,25,hun-boán,hunbuan2,hunboan2
hun-ke,分家,25,hun-ke,hunke,hunke
hun-tshùn,分寸,25,hun-chhùn,huntshun3,hunchhun3
hun-kio̍k,分局,25,hun-kio̍k,hunkiok8,hunkiok8
hun-ku,分居,25,hun-ku,hunku,hunku
hun-tsiu,分州,25,hun-chiu,huntsiu,hunchiu
pun-pînn,分平,25,pun-pîⁿ,punpinn5,punpinn5
hun-hú,分府,25,hun-hú,hunhu2,hunhu2
pun-tiunn,分張,25,pun-tiuⁿ,puntiunn,puntiunn
hun-iu,分憂,25,hun-iu,huniu,huniu
hun-hōo,分戶,25,hun-hō͘,hunhoo7,hunhoo7
pun-phue,分批,25,pun-phoe,punphue,punphoe
hun-thiah,分拆,25,hun-thiah,hunthiah,hunthiah
pun-thiah,分拆,25,pun-thiah,punthiah,punthiah
hun-puah,分撥,25,hun-poah,hunpuah,hunpoah
hun-tam,分擔,25,hun-tam,huntam,huntam
hun-thuann,分攤,25,hun-thoaⁿ,hunthuann,hunthoann
hun-ki,分支,25,hun-ki,hunki,hunki
hun-suànn,分散,25,hun-sòaⁿ,hunsuann3,hunsoann3
pun-suànn,分散,25,pun-sòaⁿ,punsuann3,punsoann3
hun-sòo,分數,25,hun-sò͘,hunsoo3,hunsoo3
hun-bûn,分文,25,hun-bûn,hunbun5,hunbun5
hun-bîng,分明,25,hun-bêng,hunbing5,hunbeng5
hun-hiáu,分曉,25,hun-hiáu,hunhiau2,hunhiau2
hun-hē,分會,25,hun-hē,hunhe7,hunhe7
hun-hāu,分校,25,hun-hāu,hunhau7,hunhau7
hun-gia̍p,分業,25,hun-gia̍p,hungiap8,hungiap8
hun-hô,分毫,25,hun-hô,hunho5,hunho5
pun-tsuí,分水,25,pun-chúi,puntsui2,punchui2
hun-phài,分派,25,hun-phài,hunphai3,hunphai3
hun-liû,分流,25,hun-liû,hunliu5,hunliu5
pun-lâu,分流,25,pun-lâu,punlau5,punlau5
hun-tshuàn,分爨,25,hun-chhoàn,huntshuan3,hunchhoan3
hun-lí,分理,25,hun-lí,hunli2,hunli2
hun-kài,分界,25,hun-kài,hunkai3,hunkai3
hun-huat,分發,25,hun-hoat,hunhuat,hunhoat
hun-thiāu,分祧,25,hun-thiāu,hunthiau7,hunthiau7
hun-kho,分科,25,hun-kho,hunkho,hunkho
hun-ng,分秧,25,hun-ng,hunng,hunng
