tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian,is_variant
pah,百,4376,pah,pah4,pah4,pah,pah,,,True,False
iūnn,樣,4375,iūⁿ,iunn7,iunn7,iunn,iunn,,,True,False
tsìng,正,4364,chèng,tsing3,cheng3,tsing,cheng,,,True,False
ná,哪,4354,ná,na2,na2,na,na,,,True,False
tsiap,接,4351,chiap,tsiap4,chiap4,tsiap,chiap,,,True,False
sái,屎,4331,sái,sai2,sai2,sai,sai,,,True,False
io̍h,藥,4327,io̍h,ioh8,ioh8,ioh,ioh,,,True,False
lia̍h,掠,4324,lia̍h,liah8,liah8,liah,liah,,,True,False
tué,底,4318,tóe,tue2,toe2,tue,toe,,,True,False
té,底,4318,té,te2,te2,te,te,,,True,False
liân,連,4313,liân,lian5,lian5,lian,lian,,,True,False
tsa̍p,十,4304,cha̍p,tsap8,chap8,tsap,chap,,,True,False
hāng,項,4298,hāng,hang7,hang7,hang,hang,,,True,False
kim,今,4280,kim,kim1,kim1,kim,kim,,,True,False
hiòng,向,4258,hiòng,hiong3,hiong3,hiong,hiong,,,True,False
kiù,救,4257,kiù,kiu3,kiu3,kiu,kiu,,,True,False
kám,敢,4239,kám,kam2,kam2,kam,kam,,,True,False
īng,用,4235,ēng,ing7,eng7,ing,eng,,,True,False
soo,穌,4221,so͘,soo1,soo1,soo,soo,,,True,False
káng,港,4182,káng,kang2,kang2,kang,kang,,,True,False
hiann,兄,4171,hiaⁿ,hiann1,hiann1,hiann,hiann,,,True,False
to,多,4166,to,to1,to1,to,to,,,True,False
suànn,線,4156,sòaⁿ,suann3,soann3,suann,soann,,,True,False
ka,交,4153,ka,ka1,ka1,ka,ka,,,True,False
lîng,能,4149,lêng,ling5,leng5,ling,leng,,,True,False
ki,基,4131,ki,ki1,ki1,ki,ki,,,True,False
sīm,甚,4128,sīm,sim7,sim7,sim,sim,,,True,False
tshân,田,4120,chhân,tshan5,chhan5,tshan,chhan,,,True,False
mah,嘛,4115,mah,mah4,mah4,mah,mah,,,True,False
tshiū,樹,4070,chhiū,tshiu7,chhiu7,tshiu,chhiu,,,True,False
sè,勢,4059,sè,se3,se3,se,se,,,True,False
o̍h,學,4044,o̍h,oh8,oh8,oh,oh,,,True,False
kuán,館,4027,koán,kuan2,koan2,kuan,koan,,,True,False
hiah,遐,4016,hiah,hiah4,hiah4,hiah,hiah,,,True,False
tsiàn,戰,4010,chiàn,tsian3,chian3,tsian,chian,,,True,False
siat,設,4002,siat,siat4,siat4,siat,siat,,,True,False
tshiò,笑,3995,chhiò,tshio3,chhio3,tshio,chhio,,,True,False
tsē,坐,3988,chē,tse7,che7,tse,che,,,True,False
