hanzi,tl,frequency,poj,tl_num,poj_num
草鞋,tsháu-ê,25,chháu-ê,tshau2e5,chhau2e5
荖安,láu-an,25,láu-an,lau2an,lau2an
菘藍,siông-nâ,25,siông-nâ,siong5na5,siong5na5
菜刀,tshài-to,25,chhài-to,tshai3to,chhai3to
菜砧,tshài-tiam,25,chhài-tiam,tshai3tiam,chhai3tiam
葫蘆,hôo-lôo,25,hô͘-lô͘,hoo5loo5,hoo5loo5
葵扇,khuê-sìnn,25,khôe-sìⁿ,khue5sinn3,khoe5sinn3
蒼布,tshong-pòo,25,chhong-pò͘,tshongpoo3,chhongpoo3
蓮葉,liân-hio̍h,25,liân-hio̍h,lian5hioh8,lian5hioh8
蓮蓬,liân-phōng,25,liân-phōng,lian5phong7,lian5phong7
蓼藍,liau-nâ,25,liau-nâ,liauna5,liauna5
蔥線,tshong-suànn,25,chhong-sòaⁿ,tshongsuann3,chhongsoann3
薯榔,tsû-nn̂g,25,chû-nn̂g,tsu5nng5,chu5nng5
藥鉸,io̍h-ka,25,io̍h-ka,ioh8ka,ioh8ka
藩尺,huan-tshioh,25,hoan-chhioh,huantshioh,hoanchhioh
蘇式,soo-sik,25,so͘-sek,soosik,soosek
蘇木,soo-bo̍k,25,so͘-bo̍k,soobok8,soobok8
虎杖,hóo-tiōng,25,hó͘-tiōng,hoo2tiong7,hoo2tiong7
虹仔,khîng-á,25,khêng-á,khing5a2,kheng5a2
蝴蝶,ôo-tia̍p,25,ô͘-tia̍p,oo5tiap8,oo5tiap8
衣脊,i-tsit,25,i-chit,itsit,ichit
裁紙,tshâi-tsuá,25,chhâi-chóa,tshai5tsua2,chhai5choa2
補刀,póo-to,25,pó͘-to,poo2to,poo2to
補塗,póo-thôo,25,pó͘-thô͘,poo2thoo5,poo2thoo5
裝飾,tsong-sik,25,chong-sek,tsongsik,chongsek
角坩,kak-khann,25,kak-khaⁿ,kakkhann,kakkhann
角尺,kak-tshioh,25,kak-chhioh,kaktshioh,kakchhioh
角環,kak-khuân,25,kak-khoân,kakkhuan5,kakkhoan5
角甪,kah-lut,25,kah-lut,kahlut,kahlut
設計,siat-kè,25,siat-kè,siatke3,siatke3
調脊,tiâu-tsit,25,tiâu-chit,tiau5tsit,tiau5chit
豆器,tāu-khì,25,tāu-khì,tau7khi3,tau7khi3
豬槽,ti-tsô,25,ti-chô,titso5,ticho5
