hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
玫瑰,muî-kuì,25,mûi-kùi,mui5kui3,mui5kui3,muikui,muikui
琥珀,hóo-phik,25,hó͘-phek,hoo2phik1,hoo2phek1,hoophik,hoophek
瑪瑙,bé-ló,25,bé-ló,be2lo2,be2lo2,belo,belo
璇石,suān-tsio̍h,25,soān-chio̍h,suan7tsioh8,soan7chioh8,suantsioh,soanchioh
璇筆,suān-pit,25,soān-pit,suan7pit1,soan7pit1,suanpit,soanpit
璇針,suān-tsiam,25,soān-chiam,suan7tsiam1,soan7chiam1,suantsiam,soanchiam
甕仔,àng-á,25,àng-á,ang3a2,ang3a2,anga,anga
生坯,tshenn-phue,25,chheⁿ-phoe,tshenn1phue1,chhenn1phoe1,tshennphue,chhennphoe
生漆,tshenn-tshat,25,chheⁿ-chhat,tshenn1tshat1,chhenn1chhat1,tshenntshat,chhennchhat
生皮,tshenn-phuê,25,chheⁿ-phôe,tshenn1phue5,chhenn1phoe5,tshennphue,chhennphoe
甲毛,kah-moo,25,kah-mo͘,kah1moo1,kah1moo1,kahmoo,kahmoo
畚箕,pùn-ki,25,pùn-ki,pun3ki1,pun3ki1,punki,punki
畫稿,uē-kó,25,ōe-kó,ue7ko2,oe7ko2,ueko,oeko
畫筆,uē-pit,25,ōe-pit,ue7pit1,oe7pit1,uepit,oepit
畫線,uē-suànn,25,ōe-sòaⁿ,ue7suann3,oe7soann3,uesuann,oesoann
畫金,uē-kim,25,ōe-kim,ue7kim1,oe7kim1,uekim,oekim
疊色,thia̍p-sik,25,thia̍p-sek,thiap8sik1,thiap8sek1,thiapsik,thiapsek
白膠,pe̍h-ka,25,pe̍h-ka,peh8ka1,peh8ka1,pehka,pehka
白身,pe̍h-sin,25,pe̍h-sin,peh8sin1,peh8sin1,pehsin,pehsin
皮仔,phuê-á,25,phôe-á,phue5a2,phoe5a2,phuea,phoea
皮包,phuê-pau,25,phôe-pau,phue5pau1,phoe5pau1,phuepau,phoepau
皮花,phuê-hue,25,phôe-hoe,phue5hue1,phoe5hoe1,phuehue,phoehoe
皮鞋,phuê-ê,25,phôe-ê,phue5e5,phoe5e5,phuee,phoee
直支,ti̍t-ki,25,ti̍t-ki,tit8ki1,tit8ki1,titki,titki
真珠,tsin-tsu,25,chin-chu,tsin1tsu1,chin1chu1,tsintsu,chinchu
石榴,tsio̍h-liû,25,chio̍h-liû,tsioh8liu5,chioh8liu5,tsiohliu,chiohliu
石獅,tsio̍h-sai,25,chio̍h-sai,tsioh8sai1,chioh8sai1,tsiohsai,chiohsai
石錘,tsio̍h-thuî,25,chio̍h-thûi,tsioh8thui5,chioh8thui5,tsiohthui,chiohthui
