漢字,異用字,TL
步輦,步輾,pōo-lián
沃澹,沃霑,ak-tâm
灶頭,竈頭,tsàu-thâu
災,瘟,
災,𣩈,
牢,稠,
牢,椆,
牢,著,
肝𦟪,肝連,kuann-liân
育囝,育子,io-kiánn
私奇,私家,sai-khia
私奇,私敧,sai-khia
肚綰,肚捾,tóo-kuānn
豆奶,豆乳,tāu-ling/tāu-ni
見笑代,見笑事,kiàn-siàu-tāi
走袂開跤,走𣍐開腳,tsáu-bē-khui-kha/tsáu-buē-khui-kha
走袂開跤,走袂開骹,tsáu-bē-khui-kha/tsáu-buē-khui-kha
走袂離,走𣍐離,tsáu-bē-lī/tsáu-buē-lī
豆乾,豆干,tāu-kuann
豆乾糋,豆干糋,tāu-kuann-tsìnn
言詞,言辭,giân-sû
走傱,走蹤,tsáu-tsông
走傱,走撞,tsáu-tsông
赤跤,赤骹,tshiah-kha
赤跤,赤腳,tshiah-kha
赤跤仙仔,赤骹仙仔,tshiah-kha-sian-á
赤跤仙仔,赤腳仙仔,tshiah-kha-sian-á
赤跤仙仔,赤骹先仔,tshiah-kha-sian-á
赤跤仙仔,赤腳先仔,tshiah-kha-sian-á
芋粿,芋餜,ōo-kué/ōo-ké
豆箍,豆麩,tāu-khoo
芋粿曲,芋餜蹺,ōo-kué-khiau/ōo-ké-khiau
車輪,車輾,tshia-lián
車幫,車番,tshia-pang
豆簽,豆籤,tāu-tshiam
佮,及,
佮,甲,
佮,合,
佮,合,
佯毋知,殿不知,tènn-m̄-tsai/tìnn-m̄-tsai
佯毋知,盯毋知,tènn-m̄-tsai/tìnn-m̄-tsai
佯毋知,盯不知,tènn-m̄-tsai/tìnn-m̄-tsai
佬仔,老仔,láu-á
佯生,盯生,tènn-tshenn/tìnn-tshinn
佯生,盯青,tènn-tshenn/tìnn-tshinn
佳哉,嘉哉,ka-tsài
佮喙,合嘴,kah-tshuì
佮喙,合喙,kah-tshuì
佯痟,𩏠痟,tènn-siáu/tìnn-siáu
佮意,愜意,kah-ì
佮意,合意,kah-ì
佯顛佯戇,佯癲佯怣,tènn-tian-tènn-gōng/tìnn-tian-tìnn-gōng
佯戇,盯戇,tènn-gōng/tìnn-gōng
佯戇,佯怣,tènn-gōng/tìnn-gōng
佯戇,盯怣,tènn-gōng/tìnn-gōng
侗戇,侗怣,tòng-gōng
到,甲,
剁,斵,tok
刺毛蟲,蛓毛蟲,tshì-môo-thâng
刺波,刺藨,tshì-pho
到站,甲站,kàu-tsām
受債,受制,siū-tsè
受當袂起,受當𣍐起,siū-tong-bē-khí/siū-tong-buē-khí
刺繡,刺綉,tshiah-siù
坯,胚,phue/phe
坦直,侹直,thán-ti̍t
呵咾,阿咾,o-ló
呵咾,謳咾,o-ló
坦徛,坦企,thán-khiā
坦徛,挺徛,thán-khiā
坦徛,坦豎,thán-khiā
呼噓仔,呼㗭仔,khoo-si-á
