tl,hanzi,frequency,poj,tl_num,poj_num
tông,幢,50,tông,tong5,tong5
bi̍k,幦,50,be̍k,bik8,bek8
tshiau,幧,50,chhiau,tshiau1,chhiau1
tshiam,幨,50,chhiam,tshiam1,chhiam1
hún,幩,50,hún,hun2,hun2
hûn,幩,50,hûn,hun5,hun5
bóng,幪,50,bóng,bong2,bong2
bông,幪,50,bông,bong5,bong5
tó,幬,50,tó,to2,to2
bia̍t,幭,50,bia̍t,biat8,biat8
tû,幮,50,tû,tu5,tu5
hián,幰,50,hián,hian2,hian2
lân,幱,50,lân,lan5,lan5
khian,幵,50,khian,khian1,khian1
kian,幵,50,kian,kian1,kian1
pìng,幷,50,pèng,ping3,peng3
iau,幺,50,iau,iau1,iau1
iám,广,50,iám,iam2,iam2
phí,庀,50,phí,phi2,phi2
pí,庀,50,pí,pi2,pi2
môo,庅,50,mô͘,moo5,moo5
khîm,庈,50,khîm,khim5,khim5
tún,庉,50,tún,tun2,tun2
tûn,庉,50,tûn,tun5,tun5
khuí,庋,50,khúi,khui2,khui2
gâ,庌,50,gâ,ga5,ga5
gā,庌,50,gā,ga7,ga7
pài,庍,50,pài,pai3,pai3
kài,庎,50,kài,kai3,kai3
teré,底,50,tére,tere2,tere2
pâu,庖,50,pâu,pau5,pau5
king,庚,50,keng,king1,keng1
tshù,庛,50,chhù,tshu3,chhu3
tshû,庛,50,chhû,tshu5,chhu5
siông,庠,50,siông,siong5,siong5
tsik,庢,50,chek,tsik4,chek4
thiau,庣,50,thiau,thiau1,thiau1
tiâu,庣,50,tiâu,tiau5,tiau5
sī,庤,50,sī,si7,si7
tī,庤,50,tī,ti7,ti7
hiu,庥,50,hiu,hiu1,hiu1
tǒo,度,50,tǒ͘,too6,too6
hau,庨,50,hau,hau1,hau1
khuí,庪,50,khúi,khui2,khui2
bâng,庬,50,bâng,bang5,bang5
pâng,庬,50,pâng,pang5,pang5
tiânn,庭,50,tiâⁿ,tiann5,tiann5
pìng,庰,50,pèng,ping3,peng3
píng,庰,50,péng,ping2,peng2
lâi,庲,50,lâi,lai5,lai5
pi,庳,50,pi,pi1,pi1
pî,庳,50,pî,pi5,pi5
pī,庳,50,pī,pi7,pi7
iônn,庸,50,iôⁿ,ionn5,ionn5
iûnn,庸,50,iûⁿ,iunn5,iunn5
thò,庹,50,thò,tho3,tho3
tô,庹,50,tô,to5,to5
gū,庽,50,gū,gu7,gu7
jí,庾,50,jí,ji2,ji2
jú,庾,50,jú,ju2,ju2
lú,庾,50,lú,lu2,lu2
siang,廂,50,siang,siang1,siang1
siong,廂,50,siong,siong1,siong1
siunn,廂,50,siuⁿ,siunn1,siunn1
kì,廄,50,kì,ki3,ki3
a̍p,廅,50,a̍p,ap8,ap8
liû,廇,50,liû,liu5,liu5
hā,廈,50,hā,ha7,ha7
soo,廋,50,so͘,soo1,soo1
sóo,廋,50,só͘,soo2,soo2
tí,廌,50,tí,ti2,ti2
kì,廐,50,kì,ki3,ki3
kīn,廑,50,kīn,kin7,kin7
gô,廒,50,gô,go5,go5
ngôo,廒,50,ngô͘,ngoo5,ngoo5
khok,廓,50,khok,khok4,khok4
ìm,廕,50,ìm,im3,im3
tôo,廚,50,tô͘,too5,too5
tû,廚,50,tû,tu5,tu5
tiân,廛,50,tiân,tian5,tian5
su,廝,50,su,su1,su1
him,廞,50,him,him1,him1
tshiónn,廠,50,chhióⁿ,tshionn2,chhionn2
bú,廡,50,bú,bu2,bu2
bû,廡,50,bû,bu5,bu5
kuè,廥,50,kòe,kue3,koe3
tshiông,廧,50,chhiông,tshiong5,chhiong5
lím,廩,50,lím,lim2,lim2
sián,廯,50,sián,sian2,sian2
iong,廱,50,iong,iong1,iong1
ín,廴,50,ín,in2,in2
nái,廼,50,nái,nai2,nai2
ji̍h,廾,50,ji̍h,jih8,jih8
kióng,廾,50,kióng,kiong2,kiong2
gia̍p,廿,50,gia̍p,giap8,giap8
kí,异,50,kí,ki2,ki2
īnn,异,50,īⁿ,inn7,inn7
hún,弅,50,hún,hun2,hun2
hûn,弅,50,hûn,hun5,hun5
iàm,弇,50,iàm,iam3,iam3
iám,弇,50,iám,iam2,iam2
lâm,弇,50,lâm,lam5,lam5
i̍k,弈,50,e̍k,ik8,ek8
piah,弊,50,piah,piah4,piah4
it,弌,50,it,it4,it4
jī,弍,50,jī,ji7,ji7
sam,弎,50,sam,sam1,sam1
sì,弒,50,sì,si3,si3
hông,弘,50,hông,hong5,hong5
pà,弝,50,pà,pa3,pa3
tho,弢,50,tho,tho1,tho1
hù,弣,50,hù,hu3,hu3
tí,弤,50,tí,ti2,ti2
hôo,弧,50,hô͘,hoo5,hoo5
tsiau,弨,50,chiau,tsiau1,chiau1
lóo,弩,50,ló͘,loo2,loo2
lōo,弩,50,lō͘,loo7,loo7
kuan,弮,50,koan,kuan1,koan1
kuàn,弮,50,koàn,kuan3,koan3
