hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
推力,thui-li̍k,25,thui-le̍k,thui1lik8,thui1lek8,thuilik,thuilek,tl,tl
措施,tshòo-si,25,chhò͘-si,tshoo3si1,chhoo3si1,tshoosi,chhoosi,ts,cs
提案,thê-àn,25,thê-àn,the5an3,the5an3,thean,thean,ta,ta
插座,tshah-tsō,25,chhah-chō,tshah4tso7,chhah4cho7,tshahtso,chhahcho,tt,cc
插敘,tshah-sū,25,chhah-sū,tshah4su7,chhah4su7,tshahsu,chhahsu,ts,cs
插枝,tshah-ki,25,chhah-ki,tshah4ki1,chhah4ki1,tshahki,chhahki,tk,ck
插畫,tshah-uē,25,chhah-ōe,tshah4ue7,chhah4oe7,tshahue,chhahoe,tu,co
揚琴,iâng-khîm,25,iâng-khîm,iang5khim5,iang5khim5,iangkhim,iangkhim,ik,ik
換氣,uānn-khuì,25,ōaⁿ-khùi,uann7khui3,oann7khui3,uannkhui,oannkhui,uk,ok
換算,uānn-sǹg,25,ōaⁿ-sǹg,uann7sng3,oann7sng3,uannsng,oannsng,us,os
揣食,tshuē-tsia̍h,25,chhōe-chia̍h,tshue7tsiah8,chhoe7chiah8,tshuetsiah,chhoechiah,tt,cc
搬徙,puann-suá,25,poaⁿ-sóa,puann1sua2,poann1soa2,puannsua,poannsoa,ps,ps
搬戲,puann-hì,25,poaⁿ-hì,puann1hi3,poann1hi3,puannhi,poannhi,ph,ph
搬運,puann-ūn,25,poaⁿ-ūn,puann1un7,poann1un7,puannun,poannun,pu,pu
搭球,tah-kiû,25,tah-kiû,tah4kiu5,tah4kiu5,tahkiu,tahkiu,tk,tk
搶剝,tshiúnn-pak,25,chhiúⁿ-pak,tshiunn2pak4,chhiunn2pak4,tshiunnpak,chhiunnpak,tp,cp
搶孤,tshiúnn-koo,25,chhiúⁿ-ko͘,tshiunn2koo1,chhiunn2koo1,tshiunnkoo,chhiunnkoo,tk,ck
摘要,tiah-iàu,25,tiah-iàu,tiah4iau3,tiah4iau3,tiahiau,tiahiau,ti,ti
摘述,tiah-su̍t,25,tiah-su̍t,tiah4sut8,tiah4sut8,tiahsut,tiahsut,ts,ts
摹寫,bôo-siá,25,bô͘-siá,boo5sia2,boo5sia2,boosia,boosia,bs,bs
摺法,tsih-huat,25,chih-hoat,tsih4huat4,chih4hoat4,tsihhuat,chihhoat,th,ch
摺被,tsih-phuē,25,chih-phōe,tsih4phue7,chih4phoe7,tsihphue,chihphoe,tp,cp
撇橫,phiat-huâinn,25,phiat-hoâiⁿ,phiat4huainn5,phiat4hoainn5,phiathuainn,phiathoainn,ph,ph
撚錢,lián-tsînn,25,lián-chîⁿ,lian2tsinn5,lian2chinn5,liantsinn,lianchinn,lt,lc
撰寫,tsuān-siá,25,choān-siá,tsuan7sia2,choan7sia2,tsuansia,choansia,ts,cs
操作,tshau-tsok,25,chhau-chok,tshau1tsok4,chhau1chok4,tshautsok,chhauchok,tt,cc
擴分,khok-hun,25,khok-hun,khok4hun1,khok4hun1,khokhun,khokhun,kh,kh
擴寫,khok-siá,25,khok-siá,khok4sia2,khok4sia2,khoksia,khoksia,ks,ks
擺動,pái-tōng,25,pái-tōng,pai2tong7,pai2tong7,paitong,paitong,pt,pt
擺長,pái-tn̂g,25,pái-tn̂g,pai2tng5,pai2tng5,paitng,paitng,pt,pt
支出,tsi-tshut,25,chi-chhut,tsi1tshut4,chi1chhut4,tsitshut,chichhut,tt,cc
收入,siu-ji̍p,25,siu-ji̍p,siu1jip8,siu1jip8,siujip,siujip,sj,sj
收成,siu-sîng,25,siu-sêng,siu1sing5,siu1seng5,siusing,siuseng,ss,ss
改寫,kái-siá,25,kái-siá,kai2sia2,kai2sia2,kaisia,kaisia,ks,ks
改編,kái-pian,25,kái-pian,kai2pian1,kai2pian1,kaipian,kaipian,kp,kp
放卵,pàng-nn̄g,25,pàng-nn̄g,pang3nng7,pang3nng7,pangnng,pangnng,pn,pn
放大,hòng-tuā,25,hòng-tōa,hong3tua7,hong3toa7,hongtua,hongtoa,ht,ht
政治,tsìng-tī,25,chèng-tī,tsing3ti7,cheng3ti7,tsingti,chengti,tt,ct
救援,kiù-uān,25,kiù-oān,kiu3uan7,kiu3oan7,kiuuan,kiuoan,ku,ko
救濟,kiù-tsè,25,kiù-chè,kiu3tse3,kiu3che3,kiutse,kiuche,kt,kc
敗市,pāi-tshī,25,pāi-chhī,pai7tshi7,pai7chhi7,paitshi,paichhi,pt,pc
敘事,sū-sū,25,sū-sū,su7su7,su7su7,susu,susu,ss,ss
敘寫,sū-siá,25,sū-siá,su7sia2,su7sia2,susia,susia,ss,ss
敘述,sū-su̍t,25,sū-su̍t,su7sut8,su7sut8,susut,susut,ss,ss
