tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
íng-lîng,永寧,25,éng-lêng,ing2ling5,eng2leng5,ingling,engleng
íng-khong,永康,25,éng-khong,ing2khong,eng2khong,ingkhong,engkhong
íng-tshun,永春,25,éng-chhun,ing2tshun,eng2chhun,ingtshun,engchhun
íng-lo̍k,永樂,25,éng-lo̍k,ing2lok8,eng2lok8,inglok,englok
íng-sio̍k,永續,25,éng-sio̍k,ing2siok8,eng2siok8,ingsiok,engsiok
íng-uán,永遠,25,éng-oán,ing2uan2,eng2oan2,inguan,engoan
íng-tsīng,永靖,25,éng-chēng,ing2tsing7,eng2cheng7,ingtsing,engcheng
kiû-hun,求婚,25,kiû-hun,kiu5hun,kiu5hun,kiuhun,kiuhun
kiû-tsîng,求情,25,kiû-chêng,kiu5tsing5,kiu5cheng5,kiutsing,kiucheng
kiû-tsâi,求才,25,kiû-châi,kiu5tsai5,kiu5chai5,kiutsai,kiuchai
kiû-sing,求生,25,kiû-seng,kiu5sing,kiu5seng,kiusing,kiuseng
kiû-tsit,求職,25,kiû-chit,kiu5tsit,kiu5chit,kiutsit,kiuchit
kiû-ku,求龜,25,kiû-ku,kiu5ku,kiu5ku,kiuku,kiuku
si̍k-tsí,汐止,25,se̍k-chí,sik8tsi2,sek8chi2,siktsi,sekchi
si̍p-tsí,汐止,25,si̍p-chí,sip8tsi2,sip8chi2,siptsi,sipchi
si̍k-kho,汐科,25,se̍k-kho,sik8kho,sek8kho,sikkho,sekkho
kuānn-tsuí,汗水,25,kōaⁿ-chúi,kuann7tsui2,koann7chui2,kuanntsui,koannchui
u-jiám,汙染,25,u-jiám,ujiam2,ujiam2,ujiam,ujiam
u-liám,汙染,25,u-liám,uliam2,uliam2,uliam,uliam
kang-lâm,江南,25,kang-lâm,kanglam5,kanglam5,kanglam,kanglam
kang-tsiu,江周,25,kang-chiu,kangtsiu,kangchiu,kangtsiu,kangchiu
kang-san,江山,25,kang-san,kangsan,kangsan,kangsan,kangsan
kang-ngôo,江湖,25,kang-ngô͘,kangngoo5,kangngoo5,kangngoo,kangngoo
kang-ôo,江湖,25,kang-ô͘,kangoo5,kangoo5,kangoo,kangoo
kang-tiân,江田,25,kang-tiân,kangtian5,kangtian5,kangtian,kangtian
kang-tiā,江謝,25,kang-tiā,kangtia7,kangtia7,kangtia,kangtia
kang-tsiā,江謝,25,kang-chiā,kangtsia7,kangchia7,kangtsia,kangchia
tî-siōng,池上,25,tî-siōng,ti5siong7,ti5siong7,tisiong,tisiong
ong-iông,汪洋,25,ong-iông,ongiong5,ongiong5,ongiong,ongiong
