hanzi,tl,frequency,poj
三尺的花鐘,sann-tshioh-ê-hue-tsing,10,saⁿ-chhioh-ê-hoe-cheng
三角溫度針,sann-kak-un-tōo-tsiam,10,saⁿ-kak-un-tō͘-chiam
五尺的花鐘,gōo-tshioh-ê-hue-tsing,10,gō͘-chhioh-ê-hoe-cheng
仿古的銅鼎,hóng-kóo-ê-tâng-tiánn,10,hóng-kó͘-ê-tâng-tiáⁿ
切割的直尺,tshiat-kuah-ê-ti̍t-tshioh,10,chhiat-koah-ê-ti̍t-chhioh
剪白鐵網剪,tsián-pe̍h-thih-bāng-tsián,10,chián-pe̍h-thih-bāng-chián
割圓的器具,kuah-înn-ê-khì-kū,10,koah-îⁿ-ê-khì-kū
厚葉石斑木,kāu-hio̍h-tsio̍h-pan-bo̍k,10,kāu-hio̍h-chio̍h-pan-bo̍k
古早的鎖頭,kóo-tsá-ê-só-thâu,10,kó͘-chá-ê-só-thâu
四角柱仔跤,sì-kak-thiāu-á-kha,10,sì-kak-thiāu-á-kha
塗燒的螿蜍,thôo-sio-ê-tsiunn-tsî,10,thô͘-sio-ê-chiuⁿ-chî
奇種茶米罐,kî-tsióng-tê-bí-kuàn,10,kî-chióng-tê-bí-koàn
小型的籠床,sió-hîng-ê-lâng-sn̂g,10,sió-hêng-ê-lâng-sn̂g
尪仔頭模仔,ang-á-thâu-bôo-á,10,ang-á-thâu-bô͘-á
彎角柱仔跤,uan-kak-thiāu-á-kha,10,oan-kak-thiāu-á-kha
彩繪錦花仔,tshái-uē-gím-hue-á,10,chhái-ōe-gím-hoe-á
彩色的玻璃,tshái-sik-ê-po-lê,10,chhái-sek-ê-po-lê
戰甲人字甲,tsiàn-kah-jîn-jī-kah,10,chiàn-kah-jîn-jī-kah
拍空的工具,phah-khang-ê-kang-kū,10,phah-khang-ê-kang-kū
挑紗的戰甲,thiàu-se-ê-tsiàn-kah,10,thiàu-se-ê-chiàn-kah
捲紙的鐵筆,kńg-tsuá-ê-thih-pit,10,kńg-chóa-ê-thih-pit
晟手的二鏨,tshiânn-tshiú-ê-jī-tsām,10,chhiâⁿ-chhiú-ê-jī-chām
柴做的飯坩,tshâ-tsò-ê-pn̄g-khann,10,chhâ-chò-ê-pn̄g-khaⁿ
柴的敲槌仔,tshâ-ê-khà-thuî-á,10,chhâ-ê-khà-thûi-á
柴雕的劍獅,tshâ-tiau-ê-kiàm-sai,10,chhâ-tiau-ê-kiàm-sai
樟仔柴冊櫃,tsiunn-á-tshâ-tsheh-kuì,10,chiuⁿ-á-chhâ-chheh-kùi
