tl,hanzi,drop_reason
ang-bóo-á,翁某仔,duplicate
ang-î,尪姨,duplicate
ang-î,尪姨,duplicate
ang-î,尪姨,duplicate
ang-keh-toh,尪閣桌,duplicate
ang-keh-toh,尪閣桌,duplicate
ang-pô,尪婆,duplicate
ang-pô,翁婆,duplicate
ang-sài,翁婿,duplicate
ang-sài,翁婿,duplicate
a-niâ,阿娘,duplicate
an-khong,安康,duplicate
an-lo̍k-í,安樂椅,duplicate
an-niâ,安娘,duplicate
an-sim,安心,duplicate
an-sim,安心,duplicate
an-tah,安搭,duplicate
an-tah,安搭,duplicate
an-tah,安搭,duplicate
an-uì,安慰,duplicate
a̍p-á,盒仔,duplicate
a-pâ,阿爸,duplicate
ap-tsè,壓制,duplicate
a-peh,阿伯,duplicate
a-peh,阿伯,duplicate
a-peh,阿伯,duplicate
a-peh,阿伯,duplicate
a-ping-ko,阿兵哥,duplicate
a-ping-ko,阿兵哥,duplicate
a-pô,阿婆,duplicate
a-pô,阿婆,duplicate
a-pô,阿婆,duplicate
a-se,阿西,duplicate
a-sià,阿舍,duplicate
a-sià,阿舍,duplicate
a-sià,阿舍,duplicate
a-sià,阿舍,duplicate
a-sià-kiánn,阿舍囝,duplicate
a-sià-kiánn,阿舍囝,duplicate
a-só,阿嫂,duplicate
a-só,阿嫂,duplicate
a-suann,阿山,duplicate
at,遏,duplicate
at-á,遏仔,duplicate
at-tshiú-bué,,duplicate
at-tshiú-pà,,duplicate
a-tia,阿爹,duplicate
a-tok-á,阿啄仔,duplicate
a-tok-á,阿啄仔,duplicate
a-tok-á,阿啄仔,duplicate
at-tiâu,,duplicate
au,甌,duplicate
áu,拗,duplicate
áu,拗,duplicate
áu,嘔,duplicate
áu-bân,拗蠻,duplicate
áu-bân,拗蠻,duplicate
áu-bân,拗蠻,duplicate
áu-bân-á,拗蠻仔,duplicate
áu-bân-á,拗蠻仔,duplicate
áu-bân-á,拗蠻仔,duplicate
áu-bân-á,拗蠻仔,duplicate
áu-tsi̍h,拗折,duplicate
áu-huâinn,拗橫,duplicate
áu-huâinn,拗橫,duplicate
áu-huâinn,拗橫,duplicate
áu-io̍h,嘔藥,duplicate
áu-io̍h,嘔藥,duplicate
áu-kè,拗價,duplicate
áu-lí,拗理,duplicate
áu-phiah,拗癖,duplicate
áu-siòng-kong,拗相公,duplicate
áu-ut,拗鬱,duplicate
áu-ut,拗鬱,duplicate
áu-ut,拗鬱,duplicate
áu-ut,拗鬱,duplicate
àu-tshàu,,duplicate
àu-tshàu,,duplicate
àu-eh,懊呃,duplicate
àu-eh,懊呃,duplicate
àu-eh,懊呃,duplicate
àu-eh,懊呃,duplicate
àu-eh,懊呃,duplicate
àu-eh,懊呃,duplicate
àu-hip,,duplicate
àu-hip,,duplicate
àu-hong,,duplicate
àu-hong,,duplicate
àu-hong,,duplicate
àu-hong,,duplicate
àu-kioh,,duplicate
àu-kioh-siàu,,duplicate
àu-kioh-siàu,,duplicate
àu-kioh-siàu,,duplicate
àu-kóo,,duplicate
àu-kóo,,duplicate
àu-kóo,,duplicate
àu-kóo,,duplicate
àu-lông,,duplicate
àu-miâ,,duplicate
àu-miâ,,duplicate
àu-náu,懊惱,duplicate
àu-n̂g,,duplicate
àu-piáu,漚婊,duplicate
àu-piáu,漚婊,duplicate
àu-piáu-tshiong,漚婊娼,duplicate
àu-piáu-tshiong,漚婊娼,duplicate
àu-sái,,duplicate
àu-tah,漚搭,duplicate
àu-tah,漚搭,duplicate
àu-tū-tū,,duplicate
àu-tū-tū,,duplicate
àu-ut,懊鬱,duplicate
àu-ut,懊鬱,duplicate
âu,嚎,duplicate
âu-tsau,嚎糟,duplicate
âu-kiò,嚎叫,duplicate
âu-kiò,嚎叫,duplicate
âu-kiò,嚎叫,duplicate
âu-tīnn,喉淀,duplicate
âu-tīnn,喉淀,duplicate
âu-ūn,喉韻,duplicate
âu-ūn,喉韻,duplicate
āu,後,duplicate
āu-au,後甌,duplicate
āu-au,後甌,duplicate
āu-au,後甌,duplicate
āu-bīn,後面,duplicate
āu-bīn,後面,duplicate
āu-bó,後母,duplicate
āu-bó,後母,duplicate
āu-bó,後母,duplicate
āu-bó,後母,duplicate
āu-bué,後尾,duplicate
āu-bué,後尾,duplicate
āu-bóo,後某,duplicate
āu-bóo,後某,duplicate
āu-tsan,後層,duplicate
āu-tsan-khí,後曾齒,duplicate
āu-tsan-khí,後曾齒,duplicate
āu-tsē-bah,後坐肉,duplicate
āu-tsik,後叔,duplicate
āu-tshe,後妻,duplicate
āu-tshia-táu,後車斗,duplicate
āu-tshiú,後手,duplicate
āu-tshiú-tsînn,後手錢,duplicate
āu-tshiú-tsînn,後手錢,duplicate
āu-tshiú-tsînn,後手錢,duplicate
āu-tshuā,後娶,duplicate
āu-tshut-sì,後出世,duplicate
āu-tsím,後枕,duplicate
āu-tsím,後枕,duplicate
āu-tsím,後枕,duplicate
āu-tsìn,後進,duplicate
āu-tsìn,後進,duplicate
āu-tsìn,後進,duplicate
āu-hîng,後形,duplicate
āu-ji̍t,後日,duplicate
āu-ji̍t,後日,duplicate
āu-ji̍t,後日,duplicate
āu-kha,後腳,duplicate
āu-khí,後齒,duplicate
āu-khok,後擴,duplicate
āu-khok,後擴,duplicate
āu-khuì,後氣,duplicate
āu-kuè,後過,duplicate
āu-kuè,後過,duplicate
āu-kuè,後過,duplicate
āu-kuè,後過,duplicate
āu-lo̍h,後落,duplicate
āu-lo̍h,後落,duplicate
āu-náu-kut,後腦骨,duplicate
āu-pái,後擺,duplicate
āu-pái,後擺,duplicate
āu-pái,後擺,duplicate
āu-pâng,後房,duplicate
āu-pē,後父,duplicate
āu-piah,後壁,duplicate
āu-piah,後壁,duplicate
āu-piah-suann,後壁山,duplicate
āu-piah-suann,後壁山,duplicate
āu-piah-suann,後壁山,duplicate
āu-piah-suann,後壁山,duplicate
āu-piah-suann,後壁山,duplicate
āu-pōo,後步,duplicate
āu-pōo,後步,duplicate
āu-senn-ke,後生家,duplicate
āu-senn-ke,後生家,duplicate
āu-sì,後世,duplicate
āu-sì-lâng,後世人,duplicate
āu-sî,後時,duplicate
āu-siū,,duplicate
āu-siū,,duplicate
āu-siū,,duplicate
āu-suann,後山,duplicate
āu-suann,後山,duplicate
āu-sû,後嗣,duplicate
āu-táu-tshau,後斗操,duplicate
āu-tenn,後蹬,duplicate
āu-thâu,後頭,duplicate
āu-thâu,後頭,duplicate
āu-thâu-khok,後頭擴,duplicate
āu-thâu-khok,後頭擴,duplicate
āu-tù,後注,duplicate
āu-tù,後注,duplicate
au--lo̍h-khì,凹落去,duplicate
bâ,媌,duplicate
bâ,媌,duplicate
bâ,痲,duplicate
bâ,貓,duplicate
bâ-á,貓仔,duplicate
bâ-á,貓仔,duplicate
bâ-bó,媌母,duplicate
bâ-bó,媌母,duplicate
