tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
ok-sio̍k,惡俗,25,ok-sio̍k,oksiok8,oksiok8,oksiok,oksiok,os,os
ok-huà,惡化,25,ok-hòa,okhua3,okhoa3,okhua,okhoa,oh,oh
ok-pò,惡報,25,ok-pò,okpo3,okpo3,okpo,okpo,op,op
ok-bāng,惡夢,25,ok-bāng,okbang7,okbang7,okbang,okbang,ob,ob
òo-tòo,惡妒,25,ò͘-tò͘,oo3too3,oo3too3,ootoo,ootoo,ot,ot
ok-hū,惡婦,25,ok-hū,okhu7,okhu7,okhu,okhu,oh,oh
ok-kheh,惡客,25,ok-kheh,okkheh,okkheh,okkheh,okkheh,ok,ok
òo-kuânn,惡寒,25,ò͘-kôaⁿ,oo3kuann5,oo3koann5,ookuann,ookoann,ok,ok
ok-hîng,惡形,25,ok-hêng,okhing5,okheng5,okhing,okheng,oh,oh
ok-tôo,惡徒,25,ok-tô͘,oktoo5,oktoo5,oktoo,oktoo,ot,ot
ok-sim,惡心,25,ok-sim,oksim,oksim,oksim,oksim,os,os
ok-sìng,惡性,25,ok-sèng,oksing3,okseng3,oksing,okseng,os,os
ok-ok,惡惡,25,ok-ok,okok,okok,okok,okok,oo,oo
òo-òo,惡惡,25,ò͘-ò͘,oo3oo3,oo3oo3,oooo,oooo,oo,oo
ok-kám,惡感,25,ok-kám,okkam2,okkam2,okkam,okkam,ok,ok
ok-kùn,惡棍,25,ok-kùn,okkun3,okkun3,okkun,okkun,ok,ok
ok-to̍k,惡毒,25,ok-to̍k,oktok8,oktok8,oktok,oktok,ot,ot
ok-hàn,惡漢,25,ok-hàn,okhan3,okhan3,okhan,okhan,oh,oh
ok-suah,惡煞,25,ok-soah,oksuah,oksoah,oksuah,oksoah,os,os
ok-kâu,惡猴,25,ok-kâu,okkau5,okkau5,okkau,okkau,ok,ok
ok-tsi̍t,惡疾,25,ok-chi̍t,oktsit8,okchit8,oktsit,okchit,ot,oc
ok-tsìng,惡症,25,ok-chèng,oktsing3,okcheng3,oktsing,okcheng,ot,oc
ok-tshng,惡瘡,25,ok-chhng,oktshng,okchhng,oktshng,okchhng,ot,oc
ok-sián,惡癬,25,ok-sián,oksian2,oksian2,oksian,oksian,os,os
ok-tsik,惡積,25,ok-chek,oktsik,okchek,oktsik,okchek,ot,oc
ok-si̍p,惡習,25,ok-si̍p,oksip8,oksip8,oksip,oksip,os,os
ok-tsuâ,惡蛇,25,ok-chôa,oktsua5,okchoa5,oktsua,okchoa,ot,oc
ok-huih,惡血,25,ok-huih,okhuih,okhuih,okhuih,okhuih,oh,oh
ok-gú,惡語,25,ok-gú,okgu2,okgu2,okgu,okgu,og,og
ok-tsha̍t,惡賊,25,ok-chha̍t,oktshat8,okchhat8,oktshat,okchhat,ot,oc
ok-lat,惡辣,25,ok-lat,oklat,oklat,oklat,oklat,ol,ol
ok-bīn,惡面,25,ok-bīn,okbin7,okbin7,okbin,okbin,ob,ob
ok-bé,惡馬,25,ok-bé,okbe2,okbe2,okbe,okbe,ob,ob
ok-kut,惡骨,25,ok-kut,okkut,okkut,okkut,okkut,ok,ok
ok-kuí,惡鬼,25,ok-kúi,okkui2,okkui2,okkui,okkui,ok,ok
ok-tsiáu,惡鳥,25,ok-chiáu,oktsiau2,okchiau2,oktsiau,okchiau,ot,oc
ok-tóng,惡黨,25,ok-tóng,oktong2,oktong2,oktong,oktong,ot,ot
tuānn-tuānn,惰惰,25,tōaⁿ-tōaⁿ,tuann7tuann7,toann7toann7,tuanntuann,toanntoann,tt,tt
tuānn-sin,惰身,25,tōaⁿ-sin,tuann7sin,toann7sin,tuannsin,toannsin,ts,ts
tuānn-kut,惰骨,25,tōaⁿ-kut,tuann7kut,toann7kut,tuannkut,toannkut,tk,tk
lóo-khì,惱氣,25,ló͘-khì,loo2khi3,loo2khi3,lookhi,lookhi,lk,lk
siūnn-tānn,想tānn,25,siūⁿ-tāⁿ,siunn7tann7,siunn7tann7,siunntann,siunntann,st,st
siūnn-siān,想倦,25,siūⁿ-siān,siunn7sian7,siunn7sian7,siunnsian,siunnsian,ss,ss
siūnn-phian,想偏,25,siūⁿ-phian,siunn7phian,siunn7phian,siunnphian,siunnphian,sp,sp
sióng-siōng,想像,25,sióng-siōng,siong2siong7,siong2siong7,siongsiong,siongsiong,ss,ss
siūnn-tshut,想出,25,siūⁿ-chhut,siunn7tshut,siunn7chhut,siunntshut,siunnchhut,st,sc
siūnn-kàu,想到,25,siūⁿ-kàu,siunn7kau3,siunn7kau3,siunnkau,siunnkau,sk,sk
