tl,hanzi,frequency,poj
tuā-huê-hûn,大回魂,16,tōa-hôe-hûn
tuā-gōng-tshiū,大戇樹,16,tōa-gōng-chhiū
tuā-táu-iū,大斗柚,16,tōa-táu-iū
tuā-phànn-tshiū,大有樹,16,tōa-phàⁿ-chhiū
tuā-tsuí-phiô,大水萍,16,tōa-chúi-phiô
tāi-kah-tsháu,大甲草,16,tāi-kah-chháu
tuā-pe̍h-hue,大白花,16,tōa-pe̍h-hoe
tuā-âng-sim,大紅心,16,tōa-âng-sim
tuā-âng-hue,大紅花,16,tōa-âng-hoe
tuā-huan-hûn,大翻魂,16,tōa-hoan-hûn
tuā-hio̍h-phànn,大葉冇,16,tōa-hio̍h-phàⁿ
tuā-hio̍h-tōo,大葉杜,16,tōa-hio̍h-tō͘
tuā-hio̍h-lâm,大葉楠,16,tōa-hio̍h-lâm
tuā-phû-tô,大葡萄,16,tōa-phû-tô
tuā-thè-hông,大退癀,16,tōa-thè-hông
tuā-kim-ing,大金英,16,tōa-kim-eng
tuā-thâu-tê,大頭茶,16,tōa-thâu-tê
tuā-thâu-tshang,大頭葱,16,tōa-thâu-chhang
tuā-hong-tsháu,大風草,16,tōa-hong-chháu
tuā-hong-tîn,大風藤,16,tōa-hong-tîn
tāi-hông-tsháu,大黃草,16,tāi-hông-chháu
thian-lâm-sing,天南星,16,thian-lâm-seng
thian-bûn-tong,天門冬,16,thian-bûn-tong
kip-tik-thô,夾竹桃,16,kip-tek-thô
ko-pô-ōo,姑婆芋,16,ko-pô-ō͘
ui-lîng-sian,威靈仙,16,ui-lêng-sian
bēng-tsong-tik,孟宗竹,16,bēng-chong-tek
tīng-king-tsháu,定經草,16,tēng-keng-chháu
gî-hoo-tuan,宜呼端,16,gî-ho͘-toan
hu-kuì-tāu,富貴豆,16,hu-kùi-tāu
sió-lé-hue,小禮花,16,sió-lé-hoe
sió-huan-hûn,小翻魂,16,sió-hoan-hûn
sió-kim-ing,小金英,16,sió-kim-eng
tsiam-bé-hong,尖尾峯,16,chiam-bé-hong
