tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian
lāng-hue,弄花,25,lāng-hoe,lang7hue,lang7hoe,langhue,langhoe,lh,lh,True
lāng-lâu,弄鐃,25,lāng-lâu,lang7lau5,lang7lau5,langlau,langlau,ll,ll,True
lāng-hong,弄風,25,lāng-hong,lang7hong,lang7hong,langhong,langhong,lh,lh,True
lāng-lîng,弄龍,25,lāng-lêng,lang7ling5,lang7leng5,langling,langleng,ll,ll,True
pè-àn,弊案,25,pè-àn,pe3an3,pe3an3,pean,pean,pa,pa,True
pè-tuan,弊端,25,pè-toan,pe3tuan,pe3toan,petuan,petoan,pt,pt,True
king-á,弓仔,25,keng-á,kinga2,kenga2,kinga,kenga,ka,ka,True
kin-tsio,弓蕉,25,kin-chio,kintsio,kinchio,kintsio,kinchio,kt,kc,True
kin-tsior,弓蕉,25,kin-chior,kintsior,kinchior,kintsior,kinchior,kt,kc,True
king-tsio,弓蕉,25,keng-chio,kingtsio,kengchio,kingtsio,kengchio,kt,kc,True
kirn-tsio,弓蕉,25,kirn-chio,kirntsio,kirnchio,kirntsio,kirnchio,kt,kc,True
ín-ji̍p,引入,25,ín-ji̍p,in2jip8,in2jip8,injip,injip,ij,ij,True
ín-li̍p,引入,25,ín-li̍p,in2lip8,in2lip8,inlip,inlip,il,il,True
ín-tōo,引渡,25,ín-tō͘,in2too7,in2too7,intoo,intoo,it,it,True
ín-iōng,引用,25,ín-iōng,in2iong7,in2iong7,iniong,iniong,ii,ii,True
ín-huat,引發,25,ín-hoat,in2huat,in2hoat,inhuat,inhoat,ih,ih,True
ín-tsiàn,引薦,25,ín-chiàn,in2tsian3,in2chian3,intsian,inchian,it,ic,True
ín-giân,引言,25,ín-giân,in2gian5,in2gian5,ingian,ingian,ig,ig,True
ín-iú,引誘,25,ín-iú,in2iu2,in2iu2,iniu,iniu,ii,ii,True
ín-khí,引起,25,ín-khí,in2khi2,in2khi2,inkhi,inkhi,ik,ik,True
ín-su̍t,引述,25,ín-su̍t,in2sut8,in2sut8,insut,insut,is,is,True
ín-tsìn,引進,25,ín-chìn,in2tsin3,in2chin3,intsin,inchin,it,ic,True
ín-líng,引領,25,ín-léng,in2ling2,in2leng2,inling,inleng,il,il,True
ín-hûn,引魂,25,ín-hûn,in2hun5,in2hun5,inhun,inhun,ih,ih,True
ín-tshuā,引𤆬,25,ín-chhōa,in2tshua7,in2chhoa7,intshua,inchhoa,it,ic,True
hông-huat,弘法,25,hông-hoat,hong5huat,hong5hoat,honghuat,honghoat,hh,hh,True
tē-tsú,弟子,25,tē-chú,te7tsu2,te7chu2,tetsu,techu,tt,tc,True
hiân-ga̍k,弦樂,25,hiân-ga̍k,hian5gak8,hian5gak8,hiangak,hiangak,hg,hg,True
jio̍k-sè,弱勢,25,jio̍k-sè,jiok8se3,jiok8se3,jiokse,jiokse,js,js,True
lio̍k-sè,弱勢,25,lio̍k-sè,liok8se3,liok8se3,liokse,liokse,ls,ls,True
jio̍k-tsiá,弱者,25,jio̍k-chiá,jiok8tsia2,jiok8chia2,jioktsia,jiokchia,jt,jc,True
lio̍k-tsiá,弱者,25,lio̍k-chiá,liok8tsia2,liok8chia2,lioktsia,liokchia,lt,lc,True
jio̍k-tiám,弱點,25,jio̍k-tiám,jiok8tiam2,jiok8tiam2,jioktiam,jioktiam,jt,jt,True
lio̍k-tiám,弱點,25,lio̍k-tiám,liok8tiam2,liok8tiam2,lioktiam,lioktiam,lt,lt,True
tionn-liāu,張廖,25,tioⁿ-liāu,tionnliau7,tionnliau7,tionnliau,tionnliau,tl,tl,True
tiunn-liāu,張廖,25,tiuⁿ-liāu,tiunnliau7,tiunnliau7,tiunnliau,tiunnliau,tl,tl,True
tiunn-tî,張持,25,tiuⁿ-tî,tiunnti5,tiunnti5,tiunnti,tiunnti,tt,tt,True
