tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
nńg,軟,1998,nńg,nng2,nng2,ㄋㆭˋ,nng,nng,ㄋㆭ,,,,True,False
tàu,鬥,1921,tàu,tau3,tau3,ㄉㄠ˪,tau,tau,ㄉㄠ,,,,True,False
tshuē,揣,1852,chhōe,tshue7,chhoe7,ㄘㄨㆤ˫,tshue,chhoe,ㄘㄨㆤ,,,,True,False
tsíng,整,1822,chéng,tsing2,cheng2,ㄐㄧㄥˋ,tsing,cheng,ㄐㄧㄥ,,,,True,False
tóo,肚,1802,tó͘,too2,too2,ㄉㆦˋ,too,too,ㄉㆦ,,,,True,False
iù,幼,1785,iù,iu3,iu3,ㄧㄨ˪,iu,iu,ㄧㄨ,,,,True,False
phài,派,1780,phài,phai3,phai3,ㄆㄞ˪,phai,phai,ㄆㄞ,,,,True,False
ta̍h,踏,1736,ta̍h,tah8,tah8,ㄉㄚㆷ̇,tah,tah,ㄉㄚㆷ,,,,True,False
kán,簡,1691,kán,kan2,kan2,ㄍㄢˋ,kan,kan,ㄍㄢ,,,,True,False
tsia,遮,1669,chia,tsia1,chia1,ㄐㄧㄚ,tsia,chia,ㄐㄧㄚ,,,,True,False
si̍k,熟,1569,se̍k,sik8,sek8,ㄒㄧㆻ̇,sik,sek,ㄒㄧㆻ,,,,True,False
tshî,持,1563,chhî,tshi5,chhi5,ㄑㄧˊ,tshi,chhi,ㄑㄧ,,,,True,False
tshin-tshiūnn,親像,1562,chhin-chhiūⁿ,tshin1tshiunn7,chhin1chhiunn7,ㄑㄧㄣㄑㄧㆫ˫,tshintshiunn,chhinchhiunn,ㄑㄧㄣㄑㄧㆫ,tt,cc,ㄑㄑ,True,False
án-ne,按呢,1539,án-ne,an2ne1,an2ne1,ㄢˋㄋㆤ,anne,anne,ㄢㄋㆤ,an,an,ㄢㄋ,True,False
hián,顯,1494,hián,hian2,hian2,ㄏㄧㄢˋ,hian,hian,ㄏㄧㄢ,,,,True,False
bê,迷,1479,bê,be5,be5,ㆠㆤˊ,be,be,ㆠㆤ,,,,True,False
pâi,牌,1400,pâi,pai5,pai5,ㄅㄞˊ,pai,pai,ㄅㄞ,,,,True,False
kiám,減,1370,kiám,kiam2,kiam2,ㄍㄧㆰˋ,kiam,kiam,ㄍㄧㆰ,,,,True,False
siū,壽,1350,siū,siu7,siu7,ㄒㄧㄨ˫,siu,siu,ㄒㄧㄨ,,,,True,False
tuè,綴,1323,tòe,tue3,toe3,ㄉㄨㆤ˪,tue,toe,ㄉㄨㆤ,,,,True,False
tè,綴,1323,tè,te3,te3,ㄉㆤ˪,te,te,ㄉㆤ,,,,True,False
kuà,掛,1299,kòa,kua3,koa3,ㄍㄨㄚ˪,kua,koa,ㄍㄨㄚ,,,,True,False
phiàn,騙,1265,phiàn,phian3,phian3,ㄆㄧㄢ˪,phian,phian,ㄆㄧㄢ,,,,True,False
kau,溝,1206,kau,kau1,kau1,ㄍㄠ,kau,kau,ㄍㄠ,,,,True,False
kāu,厚,1200,kāu,kau7,kau7,ㄍㄠ˫,kau,kau,ㄍㄠ,,,,True,False
kiâm,鹹,1200,kiâm,kiam5,kiam5,ㄍㄧㆰˊ,kiam,kiam,ㄍㄧㆰ,,,,True,False
pìnn,變,1154,pìⁿ,pinn3,pinn3,ㄅㆪ˪,pinn,pinn,ㄅㆪ,,,,True,False
gōng,戇,1150,gōng,gong7,gong7,ㆣㆲ˫,gong,gong,ㆣㆲ,,,,True,False
tsio,招,1116,chio,tsio1,chio1,ㄐㄧㄛ,tsio,chio,ㄐㄧㄛ,,,,True,False
