hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
妍,gian,gian,0,False,True,False,False,False,False,False,False,False,False
妍,giân,giân,0,False,True,False,False,False,False,False,False,False,False
妙,biāu,biāu,0,False,True,False,False,False,True,True,False,False,False
妹,bō̤,bō̤,0,False,False,False,False,False,False,False,False,False,False
妹,muāi,moāi,0,False,True,False,False,False,False,False,False,False,False
妹,muī,mūi,0,False,True,False,False,False,False,False,False,False,False
姿,chṳ,chṳ,0,False,False,False,False,False,False,False,False,False,False
娼,tshiang,chhiang,0,False,True,False,False,False,False,False,False,False,False
婆,pôo,pô͘,0,False,True,False,False,False,False,False,False,False,False
婢,pī,pī,0,False,True,False,False,False,True,True,False,False,False
媆,lùn,lùn,0,False,False,False,False,False,False,False,False,False,False
媒,buê,bôe,0,False,False,False,False,False,True,False,False,False,False
媛,uān,oān,0,False,True,False,False,False,False,False,False,False,False
嫩,lùn,lùn,0,False,False,False,False,False,False,False,False,False,False
嬭,nái,nái,0,False,True,False,False,False,False,False,False,False,False
字,jū,jū,0,False,True,False,False,False,False,False,False,False,False
孛,pu̍t,pu̍t,0,False,True,False,False,False,False,True,False,False,False
孜,chṳ,chṳ,0,False,False,False,False,False,False,False,False,False,False
宄,khuí,khúi,0,False,True,False,False,False,False,False,False,False,False
宅,thi̍k,the̍k,0,False,True,False,False,False,False,False,False,False,False
宇,í,í,0,False,True,False,False,False,False,False,False,False,False
安,án,án,0,False,False,False,False,False,False,False,False,False,False
宝,pó,pó,0,False,True,False,False,False,False,False,False,False,False
宰,tsái,chái,0,False,True,False,False,False,False,False,False,False,False
宿舍,sok,sok,0,False,False,False,False,False,False,False,False,False,False
寀,tshái,chhái,0,False,True,False,False,False,False,False,False,False,False
寂,siok,siok,0,False,True,False,False,False,False,False,False,False,False
寂,tsi̍p,chi̍p,0,False,True,False,False,False,False,False,False,False,False
寓,gī,gī,0,False,True,False,False,False,False,False,False,False,False
寛,khuan,khoan,0,False,False,False,False,False,False,False,False,False,False
寛,khuann,khoaⁿ,0,False,True,False,False,False,False,False,False,False,False
寡,kuénn,kóeⁿ,0,False,False,False,False,False,False,False,False,False,False
寰,huân,hoân,0,False,True,False,False,False,False,False,False,False,False
將,tsiang,chiang,0,False,True,False,False,False,True,False,False,False,False
將,tsiàng,chiàng,0,False,True,False,False,False,True,False,False,False,False
尋,chhō̤,chhō̤,0,False,False,False,False,False,False,False,False,False,False
尋,sîm,sîm,0,False,True,False,False,False,False,False,False,False,False
尺,tshiok,chhiok,0,False,False,False,False,False,False,False,False,False,False
尾,bó̤,bó̤,0,False,False,False,False,False,False,False,False,False,False
尿,jiāu,jiāu,0,False,True,False,False,False,False,False,False,False,False
屁,phì,phì,0,False,True,False,False,False,False,False,False,False,False
居,kṳ,kṳ,0,False,False,False,False,False,False,False,False,False,False
屑,siat,siat,0,False,True,False,False,False,False,False,False,False,False
屯,tûn,tûn,0,False,True,False,False,False,False,False,False,False,False
岌,gi̍p,gi̍p,0,False,True,False,False,False,True,False,False,False,False
岳,ga̍k,ga̍k,0,False,True,False,False,False,False,True,False,False,False
峴,hián,hián,0,False,True,False,False,False,False,False,False,False,False
崖,gâi,gâi,0,False,True,False,False,False,False,False,False,False,False
崘,lûn,lûn,0,False,True,False,False,False,False,False,False,False,False
崙,lûn,lûn,0,False,True,False,False,False,True,False,False,False,False
崩,phing,pheng,0,False,True,False,False,False,True,True,False,False,False
嶠,kiâu,kiâu,0,False,True,False,False,False,False,False,False,False,False
嶽,ga̍k,ga̍k,0,False,True,False,False,False,False,True,False,False,False
巉,tshâm,chhâm,0,False,True,False,False,False,False,False,False,False,False
巓,tian,tian,0,False,False,False,False,False,False,False,False,False,False
