tl,hanzi,frequency,poj
tènn-tshenn,佯生,25,tèⁿ-chheⁿ
tìnn-tshinn,佯生,25,tìⁿ-chhiⁿ
ka-ngóo,佳偶,25,ka-ngó͘
lâi-sê,來洗,25,lâi-sê
lâi-tńg,來轉,25,lâi-tńg
tòng-gōng,侗戇,25,tòng-gōng
king-siān,供膳,25,keng-siān
kiong-siān,供膳,25,kiong-siān
tshim-khuân,侵權,25,chhim-khoân
piān-phín,便品,25,piān-phín
piān-tshah,便插,25,piān-chhah
piān-í,便椅,25,piān-í
piān-mi̍h,便物,25,piān-mi̍h
piān-nā,便若,25,piān-nā
sio̍k-mi̍h,俗物,25,sio̍k-mi̍h
sio̍k-bé,俗買,25,sio̍k-bé
sio̍k-buē,俗賣,25,sio̍k-bōe
sio̍k-bē,俗賣,25,sio̍k-bē
sio̍k-pháng,俗麭,25,sio̍k-pháng
pó-sian,保鮮,25,pó-sian
siu-tsìng,修正,25,siu-chèng
án-kong,俺公,25,án-kong
án-nia,俺娘,25,án-nia
tshng-suann,倉山,25,chhng-soaⁿ
tshng-tshí,倉鼠,25,chhng-chhí
kò-tsu,個資,25,kò-chu
tò-khau,倒剾,25,tò-khau
tò-kiu,倒勼,25,tò-kiu
tò-hiànn,倒向,25,tò-hiàⁿ
tò-pān,倒扮,25,tò-pān
tò-tsai,倒栽,25,tò-chai
tò-se̍h,倒踅,25,tò-se̍h
tò-ta̍h,倒踏,25,tò-ta̍h
khut-kiông,倔強,25,khut-kiông
