tl,hanzi,frequency,poj,tl_num,poj_num
ūn-tōng-tsáu-tâi,運動走台,12,ūn-tōng-cháu-tâi,un7tong7tsau2tai5,un7tong7chau2tai5
ūn-tōng-tsáu-tâi,運動走臺,12,ūn-tōng-cháu-tâi,un7tong7tsau2tai5,un7tong7chau2tai5
kuè-kíng-tiān-siong,過境電商,12,kòe-kéng-tiān-siong,kue3king2tian7siong1,koe3keng2tian7siong1
kuè-sit-tì-sí,過失致死,12,kòe-sit-tì-sí,kue3sit4ti3si2,koe3sit4ti3si2
kuè-nî-tshe-it,過年初一,12,kòe-nî-chhe-it,kue3ni5tshe1it4,koe3ni5chhe1it4
kuè-nî-tshe-sam,過年初三,12,kòe-nî-chhe-sam,kue3ni5tshe1sam1,koe3ni5chhe1sam1
kuè-nî-tshe-jī,過年初二,12,kòe-nî-chhe-jī,kue3ni5tshe1ji7,koe3ni5chhe1ji7
kuè-nî-tshe-ngóo,過年初五,12,kòe-nî-chhe-ngó͘,kue3ni5tshe1ngoo2,koe3ni5chhe1ngoo2
kuè-nî-tshe-sù,過年初四,12,kòe-nî-chhe-sù,kue3ni5tshe1su3,koe3ni5chhe1su3
kuè-āu-kò-gue̍h,過後個月,12,kòe-āu-kò-goe̍h,kue3au7ko3gueh8,koe3au7ko3goeh8
kuè-mî-kuè-kak,過鋩過角,12,kòe-mî-kòe-kak,kue3mi5kue3kak4,koe3mi5koe3kak4
kè-mî-kè-kak,過鋩過角,12,kè-mî-kè-kak,ke3mi5ke3kak4,ke3mi5ke3kak4
tō-thiann-thôo-sueh,道聽塗說,12,tō-thiaⁿ-thô͘-soeh,to7thiann1thoo5sueh4,to7thiann1thoo5soeh4
ta̍t-sîng-bo̍k-piau,達成目標,12,ta̍t-sêng-bo̍k-piau,tat8sing5bok8piau1,tat8seng5bok8piau1
iâu-put-khó-kip,遙不可及,12,iâu-put-khó-kip,iau5put4kho2kip4,iau5put4kho2kip4
uán-tong-pah-huè,遠東百貨,12,oán-tong-pah-hòe,uan2tong1pah4hue3,oan2tong1pah4hoe3
hn̄g-pîng--ê,遠爿的,12,hn̄g-pêng--ê,hng7ping5e5,hng7peng5e5
hn̄g-tuan-kàu-ha̍k,遠端教學,12,hn̄g-toan-kàu-ha̍k,hng7tuan1kau3hak8,hng7toan1kau3hak8
hn̄g-tuan--ê,遠端的,12,hn̄g-toan--ê,hng7tuan1e5,hng7toan1e5
tsia-sī-tó-uī,遮是佗位,12,chia-sī-tó-ūi,tsia1si7to2ui7,chia1si7to2ui7
jia-jia-iám-iám,遮遮掩掩,12,jia-jia-iám-iám,jia1jia1iam2iam2,jia1jia1iam2iam2
jia-hong-tsa̍h-hōo,遮風閘雨,12,jia-hong-cha̍h-hō͘,jia1hong1tsah8hoo7,jia1hong1chah8hoo7
jia-hong-tsa̍h-í,遮風閘雨,12,jia-hong-cha̍h-í,jia1hong1tsah8i2,jia1hong1chah8i2
tsun-siú-kui-kí,遵守規矩,12,chun-siú-kui-kí,tsun1siu2kui1ki2,chun1siu2kui1ki2
lau-lau--ê,遶遶的,12,lau-lau--ê,lau1lau1e5,lau1lau1e5
pinn-á-kînn-lâng,邊仔墘人,12,piⁿ-á-kîⁿ-lâng,pinn1a2kinn5lang5,pinn1a2kinn5lang5
ná-ū-tsiòng-tsâi,那有將才,12,ná-ū-chiòng-châi,na2u7tsiong3tsai5,na2u7chiong3chai5
