hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
生活,sing-ua̍h,350,seng-oa̍h,sing1uah8,seng1oah8,singuah,sengoah
肺,hì,350,hì,hi3,hi3,hi,hi
輪,lián,350,lián,lian2,lian2,lian,lian
時間,sî-kan,336,sî-kan,si5kan1,si5kan1,sikan,sikan
學校,ha̍k-hāu,302,ha̍k-hāu,hak8hau7,hak8hau7,hakhau,hakhau
扇,sìnn,300,sìⁿ,sinn3,sinn3,sinn,sinn
翼,si̍t,300,si̍t,sit8,sit8,sit,sit
雺,bông,300,bông,bong5,bong5,bong,bong
講話,kóng-uē,296,kóng-ōe,kong2ue7,kong2oe7,kongue,kongoe
日頭,ji̍t-thâu,284,ji̍t-thâu,jit8thau5,jit8thau5,jitthau,jitthau
社會,siā-huē,272,siā-hōe,sia7hue7,sia7hoe7,siahue,siahoe
白話字,pe̍h-uē-jī,262,pe̍h-ōe-jī,peh8ue7ji7,peh8oe7ji7,pehueji,pehoeji
醋,tshòo,250,chhò͘,tshoo3,chhoo3,tshoo,chhoo
活動,ua̍h-tōng,238,oa̍h-tōng,uah8tong7,oah8tong7,uahtong,oahtong
乘,sîng,228,sêng,sing5,seng5,sing,seng
文化,bûn-huà,215,bûn-hòa,bun5hua3,bun5hoa3,bunhua,bunhoa
道理,tō-lí,212,tō-lí,to7li2,to7li2,toli,toli
大聲,tuā-siann,210,tōa-siaⁿ,tua7siann1,toa7siann1,tuasiann,toasiann
運動,ūn-tōng,210,ūn-tōng,un7tong7,un7tong7,untong,untong
性命,sènn-miā,209,sèⁿ-miā,senn3mia7,senn3mia7,sennmia,sennmia
撇,phiat,200,phiat,phiat4,phiat4,phiat,phiat
穎,ínn,200,íⁿ,inn2,inn2,inn,inn
感謝,kám-siā,190,kám-siā,kam2sia7,kam2sia7,kamsia,kamsia
天頂,thinn-tíng,188,thiⁿ-téng,thinn1ting2,thinn1teng2,thinnting,thinnteng
問題,būn-tê,185,būn-tê,bun7te5,bun7te5,bunte,bunte
月娘,gue̍h-niû,185,goe̍h-niû,gueh8niu5,goeh8niu5,guehniu,goehniu
量,niû,178,niû,niu5,niu5,niu,niu
多謝,to-siā,172,to-siā,to1sia7,to1sia7,tosia,tosia
自然,tsū-jiân,162,chū-jiân,tsu7jian5,chu7jian5,tsujian,chujian
注意,tsù-ì,151,chù-ì,tsu3i3,chu3i3,tsui,chui
兜,tau,150,tau,tau1,tau1,tau,tau
著,tù,150,tù,tu3,tu3,tu,tu
環境,khuân-kíng,145,khoân-kéng,khuan5king2,khoan5keng2,khuanking,khoankeng
以前,í-tsîng,138,í-chêng,i2tsing5,i2cheng5,itsing,icheng
