tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
kôo-thu,糊樗,25,kô͘-thu,koo5thu,koo5thu,koothu,koothu
khong-lông,糠榔,25,khong-lông,khonglong5,khonglong5,khonglong,khonglong
âng-sam,紅杉,25,âng-sam,ang5sam,ang5sam,angsam,angsam
âng-kam,紅柑,25,âng-kam,ang5kam,ang5kam,angkam,angkam
âng-tshâ,紅柴,25,âng-chhâ,ang5tsha5,ang5chha5,angtsha,angchha
âng-khī,紅柿,25,âng-khī,ang5khi7,ang5khi7,angkhi,angkhi
âng-tsó,紅棗,25,âng-chó,ang5tso2,ang5cho2,angtso,angcho
âng-tām,紅淡,25,âng-tām,ang5tam7,ang5tam7,angtam,angtam
âng-tsu,紅珠,25,âng-chu,ang5tsu,ang5chu,angtsu,angchu
âng-phê,紅皮,25,âng-phê,ang5phe5,ang5phe5,angphe,angphe
âng-tik,紅竹,25,âng-tek,ang5tik,ang5tek,angtik,angtek
âng-tshài,紅菜,25,âng-chhài,ang5tshai3,ang5chhai3,angtshai,angchhai
âng-phiô,紅萍,25,âng-phiô,ang5phio5,ang5phio5,angphio,angphio
sò-sim,素心,25,sò-sim,so3sim,so3sim,sosim,sosim
sòo-hiunn,素香,25,sò͘-hiuⁿ,soo3hiunn,soo3hiunn,soohiunn,soohiunn
tsú-tuânn,紫檀,25,chú-tôaⁿ,tsu2tuann5,chu2toann5,tsutuann,chutoann
tsí-soo,紫蘇,25,chí-so͘,tsi2soo,chi2soo,tsisoo,chisoo
sè-sin,細辛,25,sè-sin,se3sin,se3sin,sesin,sesin
si-kue,絲瓜,25,si-koe,sikue,sikoe,sikue,sikoe
li̍k-tsiunn,綠樟,25,le̍k-chiuⁿ,lik8tsiunn,lek8chiunn,liktsiunn,lekchiunn
lik-tik,綠竹,25,lek-tek,liktik,lektek,liktik,lektek
li̍k-tāu,綠豆,25,le̍k-tāu,lik8tau7,lek8tau7,liktau,lektau
eng-be̍h,罌麥,25,eng-be̍h,engbeh8,engbeh8,engbeh,engbeh
iûnn-tāu,羊豆,25,iûⁿ-tāu,iunn5tau7,iunn5tau7,iunntau,iunntau
jio̍k-kuì,肉桂,25,jio̍k-kùi,jiok8kui3,jiok8kui3,jiokkui,jiokkui
bah-tāu,肉豆,25,bah-tāu,bahtau7,bahtau7,bahtau,bahtau
siau-lâm,肖楠,25,siau-lâm,siaulam5,siaulam5,siaulam,siaulam
ho-tsio,胡椒,25,ho-chio,hotsio,hochio,hotsio,hochio
la̍h-tshì,臘刺,25,la̍h-chhì,lah8tshi3,lah8chhi3,lahtshi,lahchhi
tshàu-hīng,臭杏,25,chhàu-hēng,tshau3hing7,chhau3heng7,tshauhing,chhauheng
tshàu-tsiunn,臭樟,25,chhàu-chiuⁿ,tshau3tsiunn,chhau3chiunn,tshautsiunn,chhauchiunn
tshàu-kue,臭瓜,25,chhàu-koe,tshau3kue,chhau3koe,tshaukue,chhaukoe
