tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
suh-ling,嗍奶,25,suh-leng,suh1ling1,suh1leng1,suhling,suhleng,sl,sl,True
soh-khuì,嗍氣,25,soh-khùi,soh1khui3,soh1khui3,sohkhui,sohkhui,sk,sk,True
soh-kuānn,嗍汗,25,soh-kōaⁿ,soh1kuann7,soh1koann7,sohkuann,sohkoann,sk,sk,True
suh-hun,嗍燻,25,suh-hun,suh1hun1,suh1hun1,suhhun,suhhun,sh,sh,True
suh-hueh,嗍血,25,suh-hoeh,suh1hueh1,suh1hoeh1,suhhueh,suhhoeh,sh,sh,True
môo-hui,嗎啡,25,mô͘-hui,moo5hui1,moo5hui1,moohui,moohui,mh,mh,True
tshi-tshu,嗤呲,25,chhi-chhu,tshi1tshu1,chhi1chhu1,tshitshu,chhichhu,tt,cc,True
tshi-tshū,嗤呲,25,chhi-chhū,tshi1tshu7,chhi1chhu7,tshitshu,chhichhu,tt,cc,True
tshih-tshiauh,嗤悄,25,chhih-chhiauh,tshih1tshiauh1,chhih1chhiauh1,tshihtshiauh,chhihchhiauh,tt,cc,True
ng-tsn̂g,嗯旋,25,ng-chn̂g,ng1tsng5,ng1chng5,ngtsng,ngchng,nt,nc,True
sàu-thâm,嗽痰,25,sàu-thâm,sau3tham5,sau3tham5,sautham,sautham,st,st,True
tih-tap,嘀tap,25,tih-tap,tih1tap1,tih1tap1,tihtap,tihtap,tt,tt,True
thàn-sik,嘆息,25,thàn-sek,than3sik1,than3sek1,thansik,thansek,ts,ts,True
tso-tsak,嘈促,25,cho-chak,tso1tsak1,cho1chak1,tsotsak,chochak,tt,cc,True
tshāu-tshāu,嘈嘈,25,chhāu-chhāu,tshau7tshau7,chhau7chhau7,tshautshau,chhauchhau,tt,cc,True
tsô-tsak,嘈齪,25,chô-chak,tso5tsak1,cho5chak1,tsotsak,chochak,tt,cc,True
ka-bián,嘉勉,25,ka-bián,ka1bian2,ka1bian2,kabian,kabian,kb,kb,True
ka-lâm,嘉南,25,ka-lâm,ka1lam5,ka1lam5,kalam,kalam,kl,kl,True
ka-huī,嘉惠,25,ka-hūi,ka1hui7,ka1hui7,kahui,kahui,kh,kh,True
ka-khìng,嘉慶,25,ka-khèng,ka1khing3,ka1kheng3,kakhing,kakheng,kk,kk,True
ka-tsióng,嘉獎,25,ka-chióng,ka1tsiong2,ka1chiong2,katsiong,kachiong,kt,kc,True
ka-lé,嘉禮,25,ka-lé,ka1le2,ka1le2,kale,kale,kl,kl,True
ka-hô,嘉禾,25,ka-hô,ka1ho5,ka1ho5,kaho,kaho,kh,kh,True
ka-gī,嘉義,25,ka-gī,ka1gi7,ka1gi7,kagi,kagi,kg,kg,True
ka-hing,嘉興,25,ka-heng,ka1hing1,ka1heng1,kahing,kaheng,kh,kh,True
ka-hí,嘉許,25,ka-hí,ka1hi2,ka1hi2,kahi,kahi,kh,kh,True
ka-la̍h,嘉,25,ka-la̍h,ka1lah8,ka1lah8,kalah,kalah,kl,kl,True
ka-tsî,嘉,25,ka-chî,ka1tsi5,ka1chi5,katsi,kachi,kt,kc,True
áu-thòo,嘔吐,25,áu-thò͘,au2thoo3,au2thoo3,authoo,authoo,at,at,True
áu-làu,嘔漏,25,áu-làu,au2lau3,au2lau3,aulau,aulau,al,al,True
áu-hông,嘔紅,25,áu-hông,au2hong5,au2hong5,auhong,auhong,ah,ah,True
áu-âng,嘔紅,25,áu-âng,au2ang5,au2ang5,auang,auang,aa,aa,True
ió-hìng,嘔興,25,ió-hèng,io2hing3,io2heng3,iohing,ioheng,ih,ih,True
áu-io̍h,嘔藥,25,áu-io̍h,au2ioh8,au2ioh8,auioh,auioh,ai,ai,True
áu-hueh,嘔血,25,áu-hoeh,au2hueh1,au2hoeh1,auhueh,auhoeh,ah,ah,True
mā-sī,嘛是,25,mā-sī,ma7si7,ma7si7,masi,masi,ms,ms,True
mā-tio̍h,嘛著,25,mā-tio̍h,ma7tioh8,ma7tioh8,matioh,matioh,mt,mt,True
mā-koh,嘛閣,25,mā-koh,ma7koh1,ma7koh1,makoh,makoh,mk,mk,True
tu-tshuì,嘟嘴,25,tu-chhùi,tu1tshui3,tu1chhui3,tutshui,tuchhui,tt,tc,True
huā-kún,嘩滾,25,hōa-kún,hua7kun2,hoa7kun2,huakun,hoakun,hk,hk,True
huā-tsiú,嘩酒,25,hōa-chiú,hua7tsiu2,hoa7chiu2,huatsiu,hoachiu,ht,hc,True
sau-phî,嘲皮,25,sau-phî,sau1phi5,sau1phi5,sauphi,sauphi,sp,sp,True
