hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,khpoo,is_variant
滲,serm,50,serm,serm1,serm1,ㄙㄜㆬ,ㄙㄛㆬ,serm,serm,ㄙㄜㆬ,ㄙㄛㆬ,,,,,True,False
滷,lerē,50,lerē,lere7,lere7,ㄌㄜㆤ˫,ㄌㄛㆤ˫,lere,lere,ㄌㄜㆤ,ㄌㄛㆤ,,,,,True,False
滷,lerě,50,lerě,lere6,lere6,ㄌㄜㆤˇ,ㄌㄛㆤˇ,lere,lere,ㄌㄜㆤ,ㄌㄛㆤ,,,,,True,False
滷,luē,50,lōe,lue7,loe7,ㄌㄨㆤ˫,,lue,loe,ㄌㄨㆤ,,,,,,True,False
滷,luě,50,lǒe,lue6,loe6,ㄌㄨㆤˇ,,lue,loe,ㄌㄨㆤ,,,,,,True,False
滷,lōo,50,lō͘,loo7,loo7,ㄌㆦ˫,,loo,loo,ㄌㆦ,,,,,,True,False
滷,lǒo,50,lǒ͘,loo6,loo6,ㄌㆦˇ,,loo,loo,ㄌㆦ,,,,,,True,False
漁,gîr,50,gîr,gir5,gir5,ㆣㆨˊ,,gir,gir,ㆣㆨ,,,,,,True,False
漁,hîr,50,hîr,hir5,hir5,ㄏㆨˊ,,hir,hir,ㄏㆨ,,,,,,True,False
漬,tsirh,50,chirh,tsirh4,chirh4,ㄗㆨㆷ,,tsirh,chirh,ㄗㆨㆷ,,,,,,True,False
漬,tsuh,50,chuh,tsuh4,chuh4,ㄗㄨㆷ,,tsuh,chuh,ㄗㄨㆷ,,,,,,True,False
漬,tsìr,50,chìr,tsir3,chir3,ㄗㆨ˪,,tsir,chir,ㄗㆨ,,,,,,True,False
漵,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
漵,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
漸,tsiǎm,50,chiǎm,tsiam6,chiam6,ㄐㄧㆰˇ,,tsiam,chiam,ㄐㄧㆰ,,,,,,True,False
潒,tōng,50,tōng,tong7,tong7,ㄉㆲ˫,,tong,tong,ㄉㆲ,,,,,,True,False
