tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
sió-hīnn-tsìng,sió-hīⁿ-chèng,小耳症,sio-hinn-tsing,sio-hiⁿ-cheng,3,taigitv
tsōo-thiann-khì,chō͘-thiaⁿ-khì,助聽器,tsoo-thiann-khi,cho͘-thiaⁿ-khi,3,taigitv
huan-tshí,hoan-chhí,番鼠,huan-tshi,hoan-chhi,2,taigitv
huan-tshú,hoan-chhú,番鼠,huan-tshu,hoan-chhu,2,taigitv
kong-lūn,kong-lūn,公論,kong-lun,kong-lun,2,taigitv
kó-tàng,kó-tàng,果凍,ko-tang,ko-tang,2,taigitv
kha-āu-kin,kha-āu-kin,跤後筋,kha-au-kin,kha-au-kin,3,taigitv
kha-āu-kun,kha-āu-kun,跤後筋,kha-au-kun,kha-au-kun,3,taigitv
tiong-lâng,tiong-lâng,中人,tiong-lang,tiong-lang,2,taigitv
bu̍t-liân-bāng,bu̍t-liân-bāng,物聯網,but-lian-bang,but-lian-bang,3,taigitv
siáu-tsú-huà,siáu-chú-hòa,少子化,siau-tsu-hua,siau-chu-hoa,3,taigitv
sī-bāng-mo̍oh,sī-bāng-mo̍͘h,視網膜,si-bang-mooh,si-bang-mo͘h,3,taigitv
liông-kut-tshué,liông-kut-chhóe,龍骨髓,liong-kut-tshue,liong-kut-chhoe,3,taigitv
lîng-kut-tshé,lêng-kut-chhé,龍骨髓,ling-kut-tshe,leng-kut-chhe,3,taigitv
ing-phài,eng-phài,鷹派,ing-phai,eng-phai,2,taigitv
kap-phài,kap-phài,鴿派,kap-phai,kap-phai,2,taigitv
liû-lám-khì,liû-lám-khì,瀏覽器,liu-lam-khi,liu-lam-khi,3,taigitv
bīn-tà,bīn-tà,面罩,bin-ta,bin-ta,2,taigitv
kip-tsha,kip-chha,級差,kip-tsha,kip-chha,2,taigitv
pué-huē,póe-hōe,掰會,pue-hue,poe-hoe,2,taigitv
tsâi-tuà,châi-tòa,臍帶,tsai-tua,chai-toa,2,taigitv
lo-lián-phue,lo-lián-phoe,叨撚批,lo-lian-phue,lo-lian-phoe,3,taigitv
kháu-pi,kháu-pi,口碑,khau-pi,khau-pi,2,taigitv
pi-khah,pi-khah,觱卡,pi-khah,pi-khah,2,taigitv
ù-khah,ù-khah,焐卡,u-khah,u-khah,2,taigitv
lù-khah,lù-khah,鑢卡,lu-khah,lu-khah,2,taigitv
hîm-tshī,hîm-chhī,熊市,him-tshi,him-chhi,2,taigitv
gû-tshī,gû-chhī,牛市,gu-tshi,gu-chhi,2,taigitv
