tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
àm-tshiunn,àm-chhiuⁿ,暗鯧,am-tshiunn,am-chhiuⁿ,2,taihoa
àm-tshǹg,àm-chhǹg,暗串,am-tshng,am-chhng,2,taihoa
àm-tshù,àm-chhù,暗處,am-tshu,am-chhu,2,taihoa
àm-tsìnn,àm-chìⁿ,暗箭,am-tsinn,am-chiⁿ,2,taihoa
àm-tsīnn,àm-chīⁿ,暗靜,am-tsinn,am-chiⁿ,2,taihoa
àm-tsīnn-á,àm-chīⁿ-á,暗靜仔,am-tsinn-a,am-chiⁿ-a,3,taihoa
àm-tsuā,àm-chōa,暗逝,am-tsua,am-choa,2,taihoa
àm-tsū,àm-chū,暗自,am-tsu,am-chu,2,taihoa
àm-hīng,àm-hēng,暗行,am-hing,am-heng,2,taihoa
àm-hiong,àm-hiong,暗香,am-hiong,am-hiong,2,taihoa
àm-hō,àm-hō,暗號,am-ho,am-ho,2,taihoa
àm-hué,àm-hóe,暗火,am-hue,am-hoe,2,taihoa
àm-ho̍k,àm-ho̍k,暗伏,am-hok,am-hok,2,taihoa
àm-hóng,àm-hóng,暗訪,am-hong,am-hong,2,taihoa
àm-hōo,àm-hō͘,暗雨,am-hoo,am-ho͘,2,taihoa
àm-hûn,àm-hûn,暗痕,am-hun,am-hun,2,taihoa
àm-hûn,àm-hûn,暗雲,am-hun,am-hun,2,taihoa
àm-hūn,àm-hūn,暗分,am-hun,am-hun,2,taihoa
àm-iánn,àm-iáⁿ,暗影,am-iann,am-iaⁿ,2,taihoa
àm-iú,àm-iú,暗酉,am-iu,am-iu,2,taihoa
àm-kàng,àm-kàng,暗槓,am-kang,am-kang,2,taihoa
àm-kau,àm-kau,暗溝,am-kau,am-kau,2,taihoa
àm-kè,àm-kè,暗計,am-ke,am-ke,2,taihoa
àm-king,àm-keng,暗間,am-king,am-keng,2,taihoa
àm-king-á,àm-keng-á,暗間仔,am-king-a,am-keng-a,3,taihoa
àm-khang,àm-khang,暗空,am-khang,am-khang,2,taihoa
àm-khang-á,àm-khang-á,暗空仔,am-khang-a,am-khang-a,3,taihoa
àm-khùn,àm-khùn,暗睏,am-khun,am-khun,2,taihoa
àm-kì,àm-kì,暗記,am-ki,am-ki,2,taihoa
àm-kì-hō,àm-kì-hō,暗記號,am-ki-ho,am-ki-ho,3,taihoa
àm-kuà-tsiáu,àm-kòa-chiáu,暗掛鳥,am-kua-tsiau,am-koa-chiau,3,taihoa
àm-kuat,àm-koat,暗訣,am-kuat,am-koat,2,taihoa
àm-kong,àm-kong,暗光,am-kong,am-kong,2,taihoa
àm-kong-tsiáu,àm-kong-chiáu,暗光鳥,am-kong-tsiau,am-kong-chiau,3,taihoa
àm-kóo,àm-kó͘,暗股,am-koo,am-ko͘,2,taihoa
àm-kuí,àm-kúi,暗鬼,am-kui,am-kui,2,taihoa
àm-kuí-á,àm-kúi-á,暗鬼仔,am-kui-a,am-kui-a,3,taihoa
àm-lâm,àm-lâm,暗藍,am-lam,am-lam,2,taihoa
àm-lâu,àm-lâu,暗流,am-lau,am-lau,2,taihoa
àm-lâu-á,àm-lâu-á,暗樓仔,am-lau-a,am-lau-a,3,taihoa
