tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tshiûnn-piah-tîn,chhiûⁿ-piah-tîn,牆壁籐,tshiunn-piah-tin,chhiuⁿ-piah-tin,3,taijit
tshiûnn-thâu-tíng,chhiûⁿ-thâu-téng,牆頭頂,tshiunn-thau-ting,chhiuⁿ-thau-teng,3,taijit
tshiûnn-uî,chhiûⁿ-ûi,牆圍,tshiunn-ui,chhiuⁿ-ui,2,taijit
tshiūnn,chhiūⁿ,像,tshiunn,chhiuⁿ,1,taijit
tshiūnn,chhiūⁿ,象,tshiunn,chhiuⁿ,1,taijit
tshiūnn,chhiūⁿ,相,tshiunn,chhiuⁿ,1,taijit
tshiūnn,chhiūⁿ,上,tshiunn,chhiuⁿ,1,taijit
tshiūnn,chhiūⁿ,畜,tshiunn,chhiuⁿ,1,taijit
tshiūnn,chhiūⁿ,匠,tshiunn,chhiuⁿ,1,taijit
tshiūnn-bā,chhiūⁿ-bā,上濛,tshiunn-ba,chhiuⁿ-ba,2,taijit
tshiūnn-bông,chhiūⁿ-bông,上濛,tshiunn-bong,chhiuⁿ-bong,2,taijit
tshiūnn-bōng,chhiūⁿ-bōng,上墓,tshiunn-bong,chhiuⁿ-bong,2,taijit
tshiūnn-tshik,chhiūⁿ-chhek,上粟,tshiunn-tshik,chhiuⁿ-chhek,2,taijit
tshiūnn-tshî,chhiūⁿ-chhî,上洳,tshiunn-tshi,chhiuⁿ-chhi,2,taijit
tshiūnn-tshiū,chhiūⁿ-chhiū,橡樹,tshiunn-tshiu,chhiuⁿ-chhiu,2,taijit
tshiūnn-tshng,chhiūⁿ-chhng,上倉,tshiunn-tshng,chhiuⁿ-chhng,2,taijit
tshiūnn-tsuí,chhiūⁿ-chúi,汲水,tshiunn-tsui,chhiuⁿ-chui,2,taijit
tshiūnn-gê,chhiūⁿ-gê,象牙,tshiunn-ge,chhiuⁿ-ge,2,taijit
tshiūnn-hī,chhiūⁿ-hī,象耳,tshiunn-hi,chhiuⁿ-hi,2,taijit
tshiūnn-hông,chhiūⁿ-hông,上磺,tshiunn-hong,chhiuⁿ-hong,2,taijit
tshiūnn-iû,chhiūⁿ-iû,象油,tshiunn-iu,chhiuⁿ-iu,2,taijit
tshiūnn-kán,chhiūⁿ-kán,象簡,tshiunn-kan,chhiuⁿ-kan,2,taijit
tshiūnn-kî,chhiūⁿ-kî,象棋,tshiunn-ki,chhiuⁿ-ki,2,taijit
tshiūnn-kńg,chhiūⁿ-kńg,象管,tshiunn-kng,chhiuⁿ-kng,2,taijit
tshiūnn-lùn,chhiūⁿ-lùn,上潤,tshiunn-lun,chhiuⁿ-lun,2,taijit
tshiūnn-m̂,chhiūⁿ-m̂,樹梅,tshiunn-m,chhiuⁿ-m,2,taijit
tshiūnn-mn̂g,chhiūⁿ-mn̂g,上門,tshiunn-mng,chhiuⁿ-mng,2,taijit
