"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"17792","ha̍k-kho","","hak8-kho","","學科","(日)","","ha̍k-kho","","hak8-kho","","學科","(日)","","B0525",""
"17793","ha̍k-khò","","hak8-kho3","","學課","(日)","","ha̍k-khò","","hak8-kho3","","學課","(日)","","B0525",""
"17794","ha̍k-kî","","hak8-ki5","","學期","(日)","","ha̍k-kî","","hak8-ki5","","學期","(日)","","B0525",""
"17795","ha̍k-kip","","hak8-kip","","學級","(日)","","ha̍k-kip","","hak8-kip","","學級","(日)","","B0525",""
"17796","ha̍k-le̍k","","hak8-lek8","","學力","(日)","","ha̍k-li̍k","","hak8-lik8","","學力","(日)","","B0526",""
"17797","ha̍k-lí","","hak8-li2","","學理","(日)","","ha̍k-lí","","hak8-li2","","學理","(日)","","B0526",""
"17798","ha̍k-liâu","","hak8-liau5","","學寮","(日)","","ha̍k-liâu","","hak8-liau5","","學寮","(日)","","B0526",""
"17799","ha̍k-sek","","hak8-sek","","學識","(日)","","ha̍k-sik","","hak8-sik","","學識","(日)","","B0526",""
"17800","ha̍k-seng","","hak8-seng","","學生","書生，弟子。","∼∼ 戲仔猴＝罵學生kah-ná猴hiah亂來；∼∼ 戲仔手。","ha̍k-sing","","hak8-sing","","學生","書生，弟子。","∼∼ 戲仔猴＝罵學生kah-ná猴hiah亂來；∼∼ 戲仔手。","B0526",""
"17801","ha̍k-siân","","hak8-sian5","","學禪","參禪。","","ha̍k-siân","","hak8-sian5","","學禪","參禪。","","B0526",""
"17802","ha̍k-sip","","hak8-sip","","學習","(1)修業。
(2)得意，專業。","(1)∼∼ 仙法。
(2)騎買是伊 ∼∼ ê。","ha̍k-sip","","hak8-sip","","學習","(1)修業。
(2)得意，專業。","(1)∼∼ 仙法。
(2)騎買是伊 ∼∼ ê。","B0526",""
"17803","ha̍k-sip-īⁿ","","hak8-sip-inn7","","學習院","修業ê所在。","","ha̍k-sip-īnn","","hak8-sip-inn7","","學習院","修業ê所在。","","B0526",""
"17804","ha̍k-soat","","hak8-soat","","學說","(日)","","ha̍k-suat","","hak8-suat","","學說","(日)","","B0526",""
"17805","ha̍k-sū","","hak8-su7","","學士","修業ê人。","","ha̍k-sū","","hak8-su7","","學士","修業ê人。","","B0526",""
"17806","ha̍k-sū-í","","hak8-su7-i2","","學士椅","有掛(khòa)手ê椅仔。","","ha̍k-sū-í","","hak8-su7-i2","","學士椅","有掛(khuà)手ê椅仔。","","B0526",""
"17807","ha̍k-su̍t","","hak8-sut8","","學術","(日)","","ha̍k-su̍t","","hak8-sut8","","學術","(日)","","B0526",""
"17808","ha̍k-tâi","","hak8-tai5","","學臺","(1)秀才等ê考試官。
(2)便所。","(2)見 ∼∼；告 ∼∼。","ha̍k-tâi","","hak8-tai5","","學臺","(1)秀才等ê考試官。
(2)便所。","(2)見 ∼∼；告 ∼∼。","B0526",""
"17809","ha̍k-táu","","hak8-tau2","","學斗","管理[學租]ê人。","","ha̍k-táu","","hak8-tau2","","學斗","管理[學租]ê人。","","B0526",""
"17810","ha̍k-tông","","hak8-tong5","","學堂","學校。","","ha̍k-tông","","hak8-tong5","","學堂","學校。","","B0526",""
