tl,hanzi
ang-á-mi̍h,尪仔物
ang-á-phiau,尪仔標
ang-á-thâu,尪仔頭
ang-á-thâu-phōo,尪仔頭簿
ang-á-tôo,尪仔圖
ang-bóo,夫妻
ang-bóo-á,夫妻仔
ang-tshuā-bóo,
ang-tsiá,翁姐
ang-tsiá-á,翁姐仔
ang-î,尪姨
ang-î-tshuì,尪姨嘴
ang-kè-toh,尪架桌
ang-kiánn,翁子
ang-kong,尪公
ang-kong-á-pó,尪公仔寶
ang-kong-tsóo,尪公祖
ang-má,尪媽
ang-pô,尪婆
ang-pô-tuì,翁婆對
ang-put,尪佛
ang-put-song,尪佛桑
ang-sài,翁婿
ang-sing-bóo-tuànn,翁生某妲
ang-sîn,尪神
ang-tiùnn,尪帳
an-guî,安危
an-hân,安閑
an-hân-tsū-tsāi,安閑自在
an-hē,安下
an-hioh,安息
an-sik-hiunn,安息香
an-sik-ji̍t,安息日
an-hioh-ji̍t,安息日
an-hiunn,安香
an-hue,安花
an-hû,安符
an-hui,安徽
an-hūn,安分
an-hūn-siú-kí,安分守己
a-ni,阿瀝
a-niâ,阿娘
an-iânn,安營
an-ióng,安養
a-niû,阿娘
an-jī-kuí,安字鬼
an-jiân,安然
an-jiân-tsiam,安然針
an-jiân-tsū-tsāi,安然自在
an-jîn,安人
an-ka,安家
an-kánn-siū,安敢受
an-khong,安康
