tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
pún-tshinn,本菁,25,pún-chhiⁿ,pun2tshinn1,pun2chhinn1,ㄅㄨㄣˋㄑㆪ,,puntshinn,punchhinn,ㄅㄨㄣㄑㆪ,,pt,pc,ㄅㄑ,,True,False
kuann-á,杆仔,25,koaⁿ-á,kuann1a2,koann1a2,ㄍㄨㆩㄚˋ,,kuanna,koanna,ㄍㄨㆩㄚ,,ka,ka,ㄍㄚ,,True,False
lí-á,李仔,25,lí-á,li2a2,li2a2,ㄌㄧˋㄚˋ,,lia,lia,ㄌㄧㄚ,,la,la,ㄌㄚ,,True,False
tōo-á,杜仔,25,tō͘-á,too7a2,too7a2,ㄉㆦ˫ㄚˋ,,tooa,tooa,ㄉㆦㄚ,,ta,ta,ㄉㄚ,,True,False
siông-ngôo,松梧,25,siông-ngô͘,siong5ngoo5,siong5ngoo5,ㄒㄧㆲˊㄫㆦˊ,,siongngoo,siongngoo,ㄒㄧㆲㄫㆦ,,sn,sn,ㄒㄫ,,True,False
siông-lô,松蘿,25,siông-lô,siong5lo5,siong5lo5,ㄒㄧㆲˊㄌㄛˊ,,sionglo,sionglo,ㄒㄧㆲㄌㄛ,,sl,sl,ㄒㄌ,,True,False
tsí-á,枳仔,25,chí-á,tsi2a2,chi2a2,ㄐㄧˋㄚˋ,,tsia,chia,ㄐㄧㄚ,,ta,ca,ㄐㄚ,,True,False
tsí-poo,枳枯,25,chí-po͘,tsi2poo1,chi2poo1,ㄐㄧˋㄅㆦ,,tsipoo,chipoo,ㄐㄧㄅㆦ,,tp,cp,ㄐㄅ,,True,False
khīng-á,柏仔,25,khēng-á,khing7a2,kheng7a2,ㄎㄧㄥ˫ㄚˋ,,khinga,khenga,ㄎㄧㄥㄚ,,ka,ka,ㄎㄚ,,True,False
kho-á,柯仔,25,kho-á,kho1a2,kho1a2,ㄎㄛㄚˋ,,khoa,khoa,ㄎㄛㄚ,,ka,ka,ㄎㄚ,,True,False
kua-thôo,柯土,25,koa-thô͘,kua1thoo5,koa1thoo5,ㄍㄨㄚㄊㆦˊ,,kuathoo,koathoo,ㄍㄨㄚㄊㆦ,,kt,kt,ㄍㄊ,,True,True
kho-si,柯絲,25,kho-si,kho1si1,kho1si1,ㄎㄛㄒㄧ,,khosi,khosi,ㄎㄛㄒㄧ,,ks,ks,ㄎㄒ,,True,False
tshâ-ôo,柴胡,25,chhâ-ô͘,tsha5oo5,chha5oo5,ㄘㄚˊㆦˊ,,tshaoo,chhaoo,ㄘㄚㆦ,,to,co,ㄘㆦ,,True,False
khī-kôo,柿糊,25,khī-kô͘,khi7koo5,khi7koo5,ㄎㄧ˫ㄍㆦˊ,,khikoo,khikoo,ㄎㄧㄍㆦ,,kk,kk,ㄎㄍ,,True,False
káu-la̍t,校栗,25,káu-la̍t,kau2lat8,kau2lat8,ㄍㄠˋㄌㄚㆵ̇,,kaulat,kaulat,ㄍㄠㄌㄚㆵ,,kl,kl,ㄍㄌ,,True,False
káu-tsan,校櫕,25,káu-chan,kau2tsan1,kau2chan1,ㄍㄠˋㄗㄢ,,kautsan,kauchan,ㄍㄠㄗㄢ,,kt,kc,ㄍㄗ,,True,False
kuì-ki,桂枝,25,kùi-ki,kui3ki1,kui3ki1,ㄍㄨㄧ˪ㄍㄧ,,kuiki,kuiki,ㄍㄨㄧㄍㄧ,,kk,kk,ㄍㄍ,,True,False
