tl,hanzi,frequency,poj,tl_num,poj_num
hàn,漢,7881,hàn,han3,han3
mn̂g,門,7855,mn̂g,mng5,mng5
kiò,叫,7760,kiò,kio3,kio3
tè,帝,7740,tè,te3,te3
hue,花,7690,hoe,hue1,hoe1
an,安,7594,an,an1,an1
kiàn,見,7496,kiàn,kian3,kian3
siūnn,想,7440,siūⁿ,siunn7,siunn7
sîng,成,7428,sêng,sing5,seng5
kiánn,囝,7404,kiáⁿ,kiann2,kiann2
tsiūnn,上,7319,chiūⁿ,tsiunn7,chiunn7
sìn,信,7276,sìn,sin3,sin3
tīng,定,7244,tēng,ting7,teng7
kín,緊,7239,kín,kin2,kin2
thian,天,7219,thian,thian1,thian1
kú,久,7160,kú,ku2,ku2
tshài,菜,7141,chhài,tshai3,chhai3
ka,加,7091,ka,ka1,ka1
ti̍t,直,7087,ti̍t,tit8,tit8
bé,馬,7067,bé,be2,be2
ua̍h,活,7040,oa̍h,uah8,oah8
tiám,點,7036,tiám,tiam2,tiam2
lah,啦,6933,lah,lah4,lah4
li̍k,力,6904,le̍k,lik8,lek8
kháu,口,6893,kháu,khau2,khau2
kiann,驚,6862,kiaⁿ,kiann1,kiann1
uī,位,6819,ūi,ui7,ui7
phah,拍,6781,phah,phah4,phah4
pháinn,歹,6780,pháiⁿ,phainn2,phainn2
bó,母,6773,bó,bo2,bo2
lâm,南,6771,lâm,lam5,lam5
sìng,性,6699,sèng,sing3,seng3
thinn,天,6685,thiⁿ,thinn1,thinn1
tsá,早,6579,chá,tsa2,cha2
àm,暗,6574,àm,am3,am3
thong,通,6564,thong,thong1,thong1
miâ,名,6546,miâ,mia5,mia5
lūn,論,6468,lūn,lun7,lun7
bué,尾,6428,bóe,bue2,boe2
tshing,清,6424,chheng,tshing1,chheng1
tsiá,者,6376,chiá,tsia2,chia2
tsáu,走,6360,cháu,tsau2,chau2
sik,色,6336,sek,sik4,sek4
ki,機,6318,ki,ki1,ki1
ìng,應,6270,èng,ing3,eng3
piàn,變,6266,piàn,pian3,pian3
pak,北,6253,pak,pak4,pak4
siā,社,6244,siā,sia7,sia7
miā,命,6224,miā,mia7,mia7
pò,報,6183,pò,po3,po3
tōo,度,6182,tō͘,too7,too7
hîng,行,6167,hêng,hing5,heng5
pài,拜,6127,pài,pai3,pai3
lín,恁,6106,lín,lin2,lin2
kái,解,6019,kái,kai2,kai2
ji̍p,入,5922,ji̍p,jip8,jip8
kì,記,5887,kì,ki3,ki3
king,間,5883,keng,king1,keng1
tsuân,全,5864,choân,tsuan5,choan5
kuan,關,5852,koan,kuan1,koan1
hué,火,5835,hóe,hue2,hoe2
khóo,苦,5829,khó͘,khoo2,khoo2
sè,世,5826,sè,se3,se3
lé,禮,5818,lé,le2,le2
thê,提,5795,thê,the5,the5
ūn,運,5740,ūn,un7,un7
pí,比,5713,pí,pi2,pi2
hí,喜,5697,hí,hi2,hi2
