tl,hanzi,frequency,poj,tl_num,poj_num
tsio̍h-hóo,石虎,25,chio̍h-hó͘,tsioh8hoo2,chioh8hoo2
tsio̍h-poh,石駁,25,chio̍h-poh,tsioh8poh,chioh8poh
tsio̍h-ku,石龜,25,chio̍h-ku,tsioh8ku,chioh8ku
phi-sòo,砒素,25,phi-sò͘,phisoo3,phisoo3
gíng-hu,研烌,25,géng-hu,ging2hu,geng2hu
gíng-tê,研茶,25,géng-tê,ging2te5,geng2te5
tiam-á,砧仔,25,tiam-á,tiama2,tiama2
tiam-tiam,砧砧,25,tiam-tiam,tiamtiam,tiamtiam
tiam-uê,砧鞋,25,tiam-ôe,tiamue5,tiamoe5
tiam-ê,砧鞋,25,tiam-ê,tiame5,tiame5
piang-khì,砰去,25,piang-khì,piangkhi3,piangkhi3
phuà-bâ,破媌,25,phòa-bâ,phua3ba5,phoa3ba5
phuà-tshâ,破柴,25,phòa-chhâ,phua3tsha5,phoa3chha5
phuà-keh,破格,25,phòa-keh,phua3keh,phoa3keh
phuà-pîng,破爿,25,phòa-pêng,phua3ping5,phoa3peng5
phuà-khang,破空,25,phòa-khang,phua3khang,phoa3khang
phuà-thai,破胎,25,phòa-thai,phua3thai,phoa3thai
phuà-ô,破蚵,25,phòa-ô,phua3o5,phoa3o5
phuà-tuann,破蛋,25,phòa-toaⁿ,phua3tuann,phoa3toann
phuà-hong,破風,25,phòa-hong,phua3hong,phoa3hong
phuà-muâ,破麻,25,phòa-môa,phua3mua5,phoa3moa5
phuà-tiánn,破鼎,25,phòa-tiáⁿ,phua3tiann2,phoa3tiann2
ke-sòo,硅素,25,ke-sò͘,kesoo3,kesoo3
kho̍k-kho̍k,硞硞,25,kho̍k-kho̍k,khok8khok8,khok8khok8
tshia-kû,硨磲,25,chhia-kû,tshiaku5,chhiaku5
teh-siong,硩傷,25,teh-siong,tehsiong,tehsiong
teh-thâm,硩痰,25,teh-thâm,tehtham5,tehtham5
teh-tshng,硩瘡,25,teh-chhng,tehtshng,tehchhng
teh-tsuá,硩紙,25,teh-chóa,tehtsua2,tehchoa2
teh-thōng,硩緟,25,teh-thōng,tehthong7,tehthong7
teh-tio̍h,硩著,25,teh-tio̍h,tehtioh8,tehtioh8
teh-tsài,硩載,25,teh-chài,tehtsai3,tehchai3
teh-tāng,硩重,25,teh-tāng,tehtang7,tehtang7
ngē-khǹg,硬勸,25,ngē-khǹg,nge7khng3,nge7khng3
ngī-khǹg,硬勸,25,ngī-khǹg,ngi7khng3,ngi7khng3
ngē-áu,硬拗,25,ngē-áu,nge7au2,nge7au2
ngē-tsiānn,硬掙,25,ngē-chiāⁿ,nge7tsiann7,nge7chiann7
