hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge
獅頭,sai-thâu,25,sai-thâu,saithau5,saithau5,saithau,saithau,st,st,True
玉蘭,gio̍k-lân,25,gio̍k-lân,giok8lan5,giok8lan5,gioklan,gioklan,gl,gl,True
玫瑰,muî-kuì,25,mûi-kùi,mui5kui3,mui5kui3,muikui,muikui,mk,mk,True
琥珀,hóo-phik,25,hó͘-phek,hoo2phik,hoo2phek,hoophik,hoophek,hp,hp,True
瑪瑙,bé-ló,25,bé-ló,be2lo2,be2lo2,belo,belo,bl,bl,True
璇石,suān-tsio̍h,25,soān-chio̍h,suan7tsioh8,soan7chioh8,suantsioh,soanchioh,st,sc,True
璇筆,suān-pit,25,soān-pit,suan7pit,soan7pit,suanpit,soanpit,sp,sp,True
璇針,suān-tsiam,25,soān-chiam,suan7tsiam,soan7chiam,suantsiam,soanchiam,st,sc,True
甕仔,àng-á,25,àng-á,ang3a2,ang3a2,anga,anga,aa,aa,True
生坯,tshenn-phue,25,chheⁿ-phoe,tshennphue,chhennphoe,tshennphue,chhennphoe,tp,cp,True
生漆,tshenn-tshat,25,chheⁿ-chhat,tshenntshat,chhennchhat,tshenntshat,chhennchhat,tt,cc,True
生皮,tshenn-phuê,25,chheⁿ-phôe,tshennphue5,chhennphoe5,tshennphue,chhennphoe,tp,cp,True
甲毛,kah-moo,25,kah-mo͘,kahmoo,kahmoo,kahmoo,kahmoo,km,km,True
